mtime,BL,BM,BQ,BU,CO,DS,DW,EP,F,FQ,FT,GP,HI,HL,HP,HY,IO,IP,J,JO,K,KL,LU,NO,NQ,NR,NS,OQ,OY,PQ,QT,QU,RS,SZ,XY
2021-11-01T01:00,3645734,3887741,4639132,3034289,4017046,3279356,4139799,2792268,2678925,2477350,3331875,2543241,3689470,3760288,3499427,1785056,3201914,2172119,2766858,1911042,3534684,3900191,3347987,2976393,3755123,4025842,4364670,4170850,3851078,2345316,4214772,4028712,2657327,3659156,3887175
2021-11-01T01:05,5406594,4252142,3887207,3640984,4437818,3178138,3949961,3540051,2631026,2881614,3051436,4157887,2680295,2792042,2636664,2823781,4908254,5257919,4203097,2205774,3976900,3984896,2903433,4355221,2109876,4775223,3448239,4155267,4125138,2961473,5160471,3675302,4654536,3606518,5893791
2021-11-01T01:10,4356770,3360835,3215981,3396278,3612437,2776725,2713770,5025059,2789502,3298455,3299650,4451575,2237920,3161223,3736126,2558460,3714807,3039407,3886884,3240136,4188764,3921868,2917303,3128024,4247771,3306689,3688232,4606381,3931026,4667640,2650758,4237494,1902456,3024686,2999614
2021-11-01T01:15,3855694,2727231,4760848,2915699,3174229,3506836,4309138,3783899,3424502,3807168,3374421,3278541,3679059,3806179,2336570,3874264,3668917,2993452,2795888,2876143,3538905,3642501,3229486,4177737,4570498,4977294,3276500,3982545,3983574,3023941,4186136,3492517,2752840,5225379,4018890
2021-11-01T01:20,4494143,4569466,2848351,2707173,3839787,2686875,3764418,3949045,2979938,2723354,4421972,3450390,2280427,4020691,1599260,3267312,4072549,4852928,2873302,4360840,4170532,3307562,3329988,3310740,3123292,3435479,3439503,4223319,4331346,3397986,5035883,2949166,3799486,4135561,3276806
2021-11-01T01:25,5478912,3500395,2708430,3234824,3750707,3086933,3437937,2619950,2383838,2164754,2789142,2843527,4372616,4383019,3661136,2580871,2564455,4172420,4977519,2988091,3257908,3516755,3224244,3709276,4587690,6471774,2503514,4859487,3691268,2199363,3765662,4188753,2746464,4075188,4695334
2021-11-01T01:30,3503512,4079553,4160740,3551377,4896830,2813498,3514027,2902824,3384701,4457294,3970785,3407404,3983829,2845428,3548484,4300750,3368222,3248492,4410729,3952810,3286278,2379296,2841761,4171256,3950571,3813690,2409130,3673794,3802085,4381274,3459207,2945202,2699524,3791911,3042820
2021-11-01T01:35,3112521,2698790,3991848,2125043,5315716,4006280,3494132,4185382,2671579,3701463,3986460,3731922,3792691,4683787,3598339,3450135,2082489,4502114,3259751,3570925,2765104,4234795,2403496,3957184,3529276,3475651,2781723,3446807,2839932,3782124,2026712,3001110,3477753,3273876,4356727
2021-11-01T01:40,6228627,3455318,2420753,3294370,5016492,4756890,2550009,5514298,4028944,2958139,3147985,3106366,3246275,4405642,3220232,2944500,5034674,4272420,2140826,2982440,3126527,3252340,2667253,4854904,3888387,4830463,3514154,2906275,2574943,3145649,3587731,4535053,2524267,2018030,3741141
2021-11-01T01:45,3605371,5193613,3346883,3074981,3936589,4813679,2148071,4016714,2641155,3562490,3061201,3034203,3097964,2352451,2679725,1372492,2754848,3467513,4777193,2971643,3376846,4717573,2437450,4742664,3772044,4506988,3050380,3307064,3657376,4422423,3083723,3710911,2381220,3790686,4125171
2021-11-01T01:50,6781316,4267568,3327202,1787940,4256876,2114595,3423565,2217951,3002534,3667116,3792162,3097920,3060132,2676239,1706648,2957396,4673734,4199641,2362343,2847655,4148654,3364061,3096178,3294291,3431243,4024564,3163295,4549180,4454391,3930099,4213600,3287552,2877666,4686272,4146317
2021-11-01T01:55,3060694,4923777,4550511,3745329,3314171,2945173,2552694,2894641,4777264,3524787,3580077,2954385,3605509,3728352,2557033,3379858,3405277,4155820,4543472,2956665,4042313,2332996,3185186,5982430,3083108,4666784,3510190,4440959,4059628,3307699,2953651,2761942,2327849,4217196,3948054
2021-11-01T02:00,2616431,3945644,4851543,2657741,3885793,3381914,3759134,3944062,3037227,2695600,2737219,3835539,2887140,4437856,3525471,4290251,4688471,3629289,3188538,3038404,3706953,3455009,3714312,3586399,2799472,5117156,3200487,3908300,4022890,3830493,3514588,4119901,3766293,4505934,3733567
2021-11-01T02:05,4955847,4642687,3784177,2562078,2720189,2948809,2860417,3353811,2962877,2461416,3655756,3515167,3295443,4094091,2849706,3361435,2641432,3581771,3767882,2873513,3643148,3947459,4917810,3674639,4133997,4323759,4759250,4788268,4842221,4392035,3046645,3454673,2915405,3840715,4478402
2021-11-01T02:10,3849353,4128606,5235845,3017991,3406964,2970163,3727209,4321982,2978794,3022747,4382376,4891290,3047234,4658035,3293470,3393161,3968408,3601310,2397624,3294780,4503691,3874633,3543374,3950854,3103656,4145589,1777638,4756687,3282278,4846957,3362621,3821601,3393949,3760773,3278602
2021-11-01T02:15,4446888,2687563,3371710,2421313,4303371,3031222,3601948,3523109,3646229,2931627,3182039,3555920,3371087,4228493,3040133,3274882,2545858,4661631,6154562,3747620,4160759,3140039,4592098,4043360,3631222,3996984,3774141,4004880,3983233,3279055,3782084,2876442,4129715,4487231,3896035
2021-11-01T02:20,4199710,3069754,4891258,2070847,2892352,3066437,3788060,3318308,2003976,4361321,5549439,4833124,3139991,4093667,2500394,3002449,3003987,3624309,5138966,3452202,3263122,4579068,3826583,2689857,4523442,3991783,4873794,3655511,3202670,4257258,5496143,3581151,2522853,3337789,3964583
2021-11-01T02:25,4338182,3032996,3944653,3045296,4392322,4049277,3178801,2806376,2886964,3044698,4626981,3723030,2276809,3999667,4219385,2655349,3496294,3321002,4587416,2550873,4380328,3326980,3800884,4123222,3382135,2457181,2747195,4261472,3717721,3642654,3730650,1870125,3134376,3460921,3024406
2021-11-01T02:30,4268699,3138666,4212211,2255429,2529570,3377268,3131737,3048907,2742036,3507589,4151754,3873240,3506906,3204833,3245992,2248685,3243002,4189013,4141109,3290282,4082017,3521720,3889320,4321021,4980690,5903190,3320744,3608446,3071630,2801393,4075119,3140462,3742076,3473503,4971005
2021-11-01T02:35,4161664,3306461,4442164,3008608,2355507,3827036,3214363,3457318,4734140,3730219,4496906,3453835,4305829,3491782,2906118,2746159,4088451,2777746,3325268,2687397,3882797,3509088,4100820,4702579,3210193,4687447,2828972,2943671,3770711,2633504,2279909,3947857,2687020,3988939,3607074
2021-11-01T02:40,3725506,4039003,4128141,2339908,3967853,2183398,3584984,3571150,2654663,2796939,2751777,4684594,4649989,3017430,2807790,3294393,2953808,5504112,4652484,3278795,3062019,3269553,3698060,4205794,3250676,3830708,3641864,4726997,3996297,3171696,3707092,3520533,3088910,3369471,3425835
2021-11-01T02:45,3480098,3085322,3824264,2667321,3216415,3225986,3487097,4313595,2680354,3559335,3082241,4125022,3511074,2155398,3194551,2574603,4274514,3604475,3327404,2471216,4252545,3581372,3791566,3735973,3092576,5457859,2169378,3524922,4244775,4158979,3336446,3656210,3334847,2964203,4467079
2021-11-01T02:50,4486813,2824479,4529672,2616363,3495720,3992307,3736016,3941996,4508064,1586892,3649437,4243333,4423718,4049294,2405253,2331809,4177076,4986502,3952310,3034883,3150284,3267082,4687212,4834313,3504436,3300831,2537042,2350951,3984131,2834555,3306343,3107085,3315739,2709250,3471064
2021-11-01T02:55,3969685,3284571,4924239,2980440,3883831,3666435,3206994,4033095,2740196,1920082,3305875,3636853,3626310,3007907,2438084,3093660,4562556,5245817,3780763,3507004,2517322,2423903,3401433,4707048,2303561,4422925,2992194,3990643,2985275,3641980,4302746,4458190,3976615,4026031,4017836
2021-11-01T03:00,4445016,2348646,3899056,2430325,3400573,3376870,3728841,3556494,4764583,3304241,3551415,3648416,4176410,2665038,3532026,2771685,3033509,3611002,4137904,4037875,3596196,3136068,4104968,5632912,4632255,4669270,3309525,4371569,3717442,3667038,4654785,3795429,3391516,4242161,4681199
2021-11-01T03:05,3376443,4277440,3660051,2193002,3389699,3512733,3566773,2313548,4475736,3329249,4031896,4026922,2264993,3458418,2942370,3478577,3464537,3353779,4070057,3322512,4017105,3541017,2527632,5055969,4309048,4510620,3342347,2048102,2743633,4300380,3239186,4017088,3123243,3557807,4782288
2021-11-01T03:10,4128571,3969411,3643049,3536954,2488479,2866868,2866490,3243390,1305953,4272188,3776981,3569724,3100232,4014492,3414963,3015362,3867311,3470714,4430504,4494322,3547650,3557147,2815645,4285963,3258257,3735159,3475295,3697363,4538680,3786109,4090732,3169145,3248630,5050875,3777998
2021-11-01T03:15,3905741,3956436,4115026,2057573,2589256,3226352,4476215,3205373,2775542,3073608,4025533,3008918,3298327,3488236,2363280,2927544,3060993,3268741,4550175,3753317,4391781,3410330,3308289,3354667,3111296,4291962,3240024,3576364,3678007,3504875,4721196,4074800,1880129,4807889,4814803
2021-11-01T03:20,4762932,3120612,4114368,2839526,4090871,3108040,2885042,4344521,3877336,2827870,4884876,4524634,3379576,3576082,4214468,3639935,4277662,4107217,3119959,4796307,4524984,3605640,3722177,4409777,4021921,4742037,4043518,2319232,3013051,4189131,3862060,3848535,3297409,5153147,4515668
2021-11-01T03:25,3623741,4411403,4296698,3113034,3911695,3818652,3327436,2982040,1620711,3008149,4269949,3352103,3474714,2121642,2317012,2910489,3217726,3102217,3787174,5077922,3867208,3398416,3928419,3239023,5195322,4243873,4188276,4130461,5076742,3484115,4121158,4771909,3853590,4193914,5561017
2021-11-01T03:30,5428998,5222326,3884794,3367169,4748559,4286193,3894995,3213371,4027240,4188933,4074173,3183402,4220666,3784008,2367906,3264980,3227187,4927834,4267600,3026019,6403706,2839985,2915733,4612957,2505728,3765377,4227733,3769284,4519203,3928980,3075571,3648640,3167573,3235029,3914449
2021-11-01T03:35,4510289,2425685,4414014,3044452,4115196,3000469,4265650,3302616,1982710,4936640,3326522,2555523,2652064,3280225,3236330,3201018,3947600,3770455,3685765,3311973,3611176,5187904,3525420,3483050,3773224,3250870,3604254,3847378,4238806,2419034,3958530,2867922,3120481,3937099,3810121
2021-11-01T03:40,3335121,1896024,2804207,2322905,4351217,3288094,3070161,3832840,2304244,3779183,2755761,3609090,3143528,3841720,3610593,3649977,4775801,4290362,4361410,2927239,3568101,3973385,3634679,5042835,3476058,4861122,2656759,3066612,2520820,3112660,4151037,4298575,2419517,4024312,3748738
2021-11-01T03:45,4037510,2984199,3651640,2318606,3512042,2973746,5346582,3012304,3854229,2489960,3678874,5334098,3767468,3206464,3664855,3074558,1928873,4350385,4107345,3989393,3541899,3105225,3551862,4160973,3725915,4329307,3695954,4171054,3767950,3430483,4974513,3651777,3627808,3687659,3237408
2021-11-01T03:50,2265724,4823703,3471557,3440470,3825316,2949895,3001115,3391561,3335203,2965617,2657421,3255754,3301083,3447741,3273908,1858859,4099989,3224371,3260666,1950783,3557517,3914249,3049501,3113834,2759737,3561153,2766359,4594966,3282272,4229952,3691340,2740001,4270695,5219254,5213438
2021-11-01T03:55,3873297,3161683,3409110,2741027,4246919,4765299,3694839,2218360,3202378,3023793,2991334,2887343,2770209,3062590,3702417,2058558,3085682,3572296,3071432,3450866,3208161,2726962,3489996,3225684,4104296,4703386,3256072,3357556,3792900,3593390,3395581,2765202,3700376,3565579,5304565
2021-11-01T04:00,3321539,5021120,4933652,2997069,3943711,2717828,2191005,3034871,3072961,3738611,2642517,3555070,3812983,3381418,3641363,2625918,3838215,3112574,4839109,3480288,4181442,4263755,2824573,4278022,2738583,3325080,3790977,4443212,5061411,3252697,3017246,2262946,3053578,3979236,4046162
2021-11-01T04:05,3394279,2713940,5784028,2776947,3253575,3638819,3532018,3263854,2867864,3618013,3433917,3288974,3697403,3182231,3356959,3237042,2563862,3115876,4303277,4302569,4906549,2263751,2621924,4921390,2909620,5011442,4672999,4255902,4335308,4160085,5048291,3487075,2331718,3931383,4914287
2021-11-01T04:10,3595017,5823693,2802295,4040344,3711334,2718127,4112963,2992727,2288678,2035657,3582016,3227292,2966398,3561219,2699878,2540000,3502319,3134626,3799704,2834526,3841027,3631285,3548366,4790863,3750905,4713383,3211443,4655497,5596162,4081861,3833011,2081846,2458785,3418711,2700784
2021-11-01T04:15,2885142,4334356,4294260,2976313,3416606,5280990,4013499,3501906,3510270,2711808,3156400,4187489,3382177,2411498,4325153,3491130,3460879,4498322,3209782,4046315,2802301,3751465,3596777,3958219,4259005,2720540,2844236,3747939,3656868,3318183,3569704,4124741,4443982,3450188,2926887
2021-11-01T04:20,4022346,4281531,4634240,1592467,5190707,2616973,3032800,3043411,3715766,3618599,3319805,4039599,3819038,4295172,2666275,2835498,3907779,3936807,3692490,4732334,4468322,3179743,3331501,3019896,3481392,3870966,4004355,4104120,4351737,3514435,4236249,5170904,3909029,2732647,3094427
2021-11-01T04:25,3649857,4156721,5181264,2388534,4226874,3663209,4276101,3757878,4332370,4309934,4035475,3996820,3299544,3241691,3081069,2958906,4039706,2888698,4007110,5024039,2709062,4081519,2755572,3676613,3800152,3500126,3325635,3646764,4243396,3678071,4046636,3049824,2680982,3724887,4567142
2021-11-01T04:30,4023190,2856825,3555820,2154441,3340846,3010807,4041096,2383488,4440285,3123381,2902021,3685209,4051538,3490924,1767827,3696272,3939860,4087293,3827849,3044040,3070949,3820577,4058852,5717441,3617349,3418552,3630732,2677306,3903516,3366703,3175041,3060199,3314622,2389481,4390028
2021-11-01T04:35,3941707,4282033,5283893,2981961,4248664,3750861,3818152,3236890,2605326,3863126,3550322,3258134,4219111,3559930,3589651,3399749,4047407,4245479,4754935,3567975,3761229,4323322,3216994,3835300,3850487,2997459,3655114,4534098,4783049,3224344,2890800,5568347,2870240,3762436,4367949
2021-11-01T04:40,3681454,5003766,2741886,3724074,4840108,2785774,3917102,3122917,3123789,3944187,4035407,3125087,1999346,2826540,1922638,2848043,2779627,2666377,4755838,3355754,3225953,3568412,2998518,4510643,3062145,4590297,1578771,3472233,3824860,2828692,5237658,3638692,3169287,3371397,3245819
2021-11-01T04:45,4695662,3501576,4638025,4079086,4264033,4849563,3442398,4084446,2202623,3896248,5872578,3962095,4107453,4259859,3219286,3528447,3452949,4631517,3997398,3131555,3228287,3088303,3698381,4378884,4555642,3302077,4648430,4540062,4383543,3892532,3439920,4296557,2632972,4791911,3653105
2021-11-01T04:50,4059026,4113473,5027798,944218,4308585,3002313,1744719,2597921,2473017,3133996,3289456,4737702,2400745,2914455,2515043,4005430,3739768,2771526,2618576,3381848,3446163,2435847,3059638,5241221,3763882,2873098,3049562,3830729,4182694,3398975,2571796,5483844,2784367,3025999,4341751
2021-11-01T04:55,3735884,3040635,4346514,3007461,4785907,4144306,3351625,4608408,2709299,4031771,3789709,2580294,4189266,4769698,2408681,3005442,3503978,3751706,3067295,3625803,3799284,2565852,3071251,4689775,3116341,4646670,3892110,4341758,3704466,5255911,3570588,2566599,2368828,3915063,4832591
2021-11-01T05:00,4753594,3554438,4235895,2865321,3114127,2665668,3158689,4091304,2733959,3569510,3272379,3548804,4370312,4138784,3843009,2364603,3789447,3812163,4402997,2712558,4323737,3307802,3010802,4927234,4087087,3094102,3518582,3741020,2904826,2729661,3520994,2737731,2938747,4784316,3783182
2021-11-01T05:05,4725788,3334014,3317389,3424598,4155995,3011309,4118164,3451938,2896174,3909829,4469221,3849756,2798684,3721480,1445241,4631609,3347266,3268178,2996486,3704619,5170329,2985670,3288542,2873847,4125558,5108571,2303596,3176448,2763600,2876221,4761168,4589417,3345165,2688913,4598529
2021-11-01T05:10,3808685,4555397,4299437,2742225,3607803,3639568,4175039,4044055,1794252,2531143,3417060,4321200,3141750,3817514,2736460,2146591,2817199,3739683,2956838,4298055,4586159,3867138,3300299,2625571,3035791,3565871,2518806,5131934,4639698,2473302,3604015,3993686,4763434,4252722,4951424
2021-11-01T05:15,3277602,4373611,4139341,1821220,3495205,2530613,2698621,2753683,2967681,2942641,3897163,3867868,5129079,3226568,1931163,2599216,3429457,5167647,4969114,4401910,3288508,2934927,5106094,4521661,4955388,4772959,2806467,4084620,5141133,3857356,3289006,4281458,4345811,2648039,3323867
2021-11-01T05:20,4135293,4837529,3979204,3270898,3676421,3629020,1859831,2021647,3629067,3251451,4866900,4125220,3145653,3106426,3241402,2638390,3062498,3036169,4052668,3354148,5238160,3454397,3065404,3214261,3378533,4019288,3099502,4286721,3705948,2438025,3748576,3203623,2806519,2603409,4710749
2021-11-01T05:25,3309817,4069762,5650910,3680510,3735201,3802632,3346005,3395572,2409612,3332100,3593172,3262077,3437305,4192369,2278173,2356954,4577988,4457892,3923834,3024349,3339346,4447123,3805188,3530980,2558727,3953275,3435542,3008779,4518333,3485552,4522388,2743376,2957504,4396622,3727277
2021-11-01T05:30,2757013,3259309,2898987,3078741,3932052,2183263,3446179,4470396,2591806,3418811,3374215,3409977,3443130,3835821,4478650,3403162,3517530,6308349,2461926,2596177,3770582,3837046,3950793,4921653,2881361,4373070,3006333,4462734,3425047,2929525,3524958,4003109,3140633,2989288,4487171
2021-11-01T05:35,4307952,3718318,3988234,2180999,4219466,3674545,3869631,3633447,2488404,3977427,4180705,2890998,2654498,3209847,3156391,3775876,3416147,3801083,3776644,3679305,3754614,4795473,3648152,4177129,2357755,3769987,4610440,4106922,3419389,3491839,3023964,3858130,3744248,3377036,4080431
2021-11-01T05:40,4458080,2378786,4358630,3354656,4718880,2852587,3013104,4318376,3343226,2788553,3265656,1882607,2988623,3607365,2252751,3332891,2584165,4727092,4296397,3233331,3414186,3373754,3623278,5325315,3971294,4605558,2685698,4158619,4283501,2650623,2683790,4502691,3148169,3379802,4830950
2021-11-01T05:45,3459650,3775380,3501826,3460545,3763878,2933241,3821802,4236054,2815857,3679504,3110600,3057745,3107286,3120390,2779548,2494922,2888577,3550261,3734684,2874836,2947034,3906443,3888596,5015168,4229961,3970532,4724302,4682941,3319893,4176810,2963077,2806561,3627791,3830870,4005757
2021-11-01T05:50,4310606,3188878,4240039,3235422,3009460,2062756,3295868,3666326,2994733,2573050,3162559,3838221,3791151,3127298,2526779,2877289,3534531,2730797,3941953,3314756,2967111,3520968,4603136,4250079,2677181,2926388,3142709,3199540,4238448,3620199,4911100,3573753,3266098,2600794,4206993
2021-11-01T05:55,3122134,4218288,4246090,2368847,4533686,3062405,4942174,3789345,3720022,2798645,4332511,2149114,3562568,2944104,2759089,2023136,2556912,4121030,4138877,2295662,4327788,2933804,4426815,5318921,3891327,5204328,3409989,4562848,4250246,2893246,3663735,4241809,4403139,3942589,4292908
2021-11-01T06:00,3574534,3612281,5949862,1815021,3791147,2275848,3074892,2149930,2391619,2678030,3161469,3301337,2815542,2505679,3191376,4033552,3117722,3590393,3887625,3099121,3382273,2971535,3942439,3108051,4417863,4205850,3136440,5538218,4946433,3006073,4120677,4799486,3528142,4131277,4514532
2021-11-01T06:05,3681722,2985345,3922493,2962369,3200481,2922844,3732025,3326578,1816263,2603798,3410798,2789490,3484196,4791653,2574789,2134428,3880574,2570357,3364935,3302363,4767487,2642202,2843830,5923763,3879855,4926206,3361445,3937534,2854504,4321335,3247404,3104560,4287050,4303002,5681081
2021-11-01T06:10,3978170,3988772,5629873,3459127,4862923,3331849,5085887,2685540,2794991,2841600,3872368,3118006,3017438,2190096,1913537,3637060,3896467,3695775,3525332,3834787,3224663,3655733,3130176,5254650,3159847,3451992,3501566,3397935,4440584,4329539,4449632,2632041,3634025,2941324,4208853
2021-11-01T06:15,5180814,4082719,5014798,3454095,2836893,3335716,4352525,2246178,3159839,2734390,3070756,4075897,2094939,3383589,5007418,3498030,3768670,4171215,3920625,3109222,3227985,4362719,4147796,4234074,3191342,5962091,3580437,3745546,4285079,4557889,4919203,4234444,3170883,4347435,3678910
2021-11-01T06:20,4290692,3778468,3921355,3539745,3582093,2487454,2885223,2839415,3017509,2772530,3715492,3240093,2779976,3158522,3804911,2372655,2923363,2024540,3414167,4491666,3123702,4117415,3121220,6313658,3743736,5009229,3830994,3242060,3991915,3555791,3149906,3359645,2379909,2921525,2958546
2021-11-01T06:25,3077505,4156941,3808406,3164259,4519959,4553876,2814826,2361762,2191020,2467309,5848040,3430778,4336487,3528978,3287747,2655794,3480140,4375008,4365848,3471082,3163484,3996441,3079912,4641015,4338853,3911492,2376498,3738011,3827721,3905804,4114258,3920933,3268515,3782109,3793216
2021-11-01T06:30,3137006,4762450,2859379,2602392,2963894,3066944,3052509,2602629,2726904,3243809,2475511,2833392,2803819,3852447,2783506,3337715,3945193,2719370,5092563,3666515,3752297,3550995,3836592,3299960,2607078,4861030,3807738,2825330,2509400,3446960,5804820,4528660,2963647,3014599,3712673
2021-11-01T06:35,3920005,4219071,4787242,3710015,3381068,2579242,3689129,3254269,2816762,2379077,4460902,3395613,2766863,3157980,2918738,3204091,2632008,3885058,3994466,3472740,3132080,4637381,3982086,4692409,4378620,5027915,2005230,4067763,4095702,2843460,3423998,3509583,2652592,3491260,6990858
2021-11-01T06:40,3766210,2698961,4097052,2686995,4151693,3078835,3731670,2262280,2367232,3467163,3128516,3698598,2838302,1990858,2147709,3774150,3249612,5051002,4975548,2387561,3165723,2529151,4260002,4316633,3237261,4425206,2338087,4455821,4016422,4432401,4655109,3927721,3733790,2088932,3509775
2021-11-01T06:45,3935771,3315495,4479292,2473306,4079176,3803676,3828952,4384221,2760987,3950944,3021002,2878673,3784121,4696500,3002452,4056817,3575161,4597449,4160965,3184011,2721473,3588355,4449684,4572118,4576466,4245322,3319953,4741032,3637922,3724956,4808553,3211141,3495297,4164278,3652325
2021-11-01T06:50,4600985,3894578,3641302,3787906,4127370,2018378,2579691,4421565,2457876,3233667,2829649,3718619,4336570,2082007,2904570,3394959,3072595,3939846,3832967,4788288,4759207,3422910,2661469,3529238,2514438,3810135,3455275,3910057,2810438,2950605,6287271,4196294,1996013,3839107,5509960
2021-11-01T06:55,2488954,2413915,4366980,2917286,3808806,3518210,5476787,2633334,2739152,2620590,3340491,3471311,3154224,4551498,3420221,3052518,1961575,4574431,3205831,3274104,4463212,4198252,3520606,2698945,3748768,4464397,4474718,4155545,4151736,3755914,4401253,3410760,3862530,3763715,3300073
2021-11-01T07:00,4253791,5870270,4863663,3717496,3294665,4510407,2593519,2964297,3156735,3668834,3094405,3462621,3037344,3177986,3788167,3739014,3320833,3706540,4241865,3937746,4873899,4160539,4009959,4119167,3168121,3448369,3296824,3563259,3295241,2704613,4394085,3436775,3703153,5076209,3837043
2021-11-01T07:05,2402112,2096416,3344654,3981119,3330952,3484927,4215298,4867894,4149516,1711015,3245693,2968738,2430559,3292646,2254243,2149258,3044278,3675435,3524040,4324053,4016978,4851157,3595610,6156490,4114903,3276997,2489519,3512197,3563770,3878707,3429779,3183190,3287174,4316785,4506325
2021-11-01T07:10,4588442,4378900,3386937,3278545,4025254,4357750,2928426,3768358,4065451,3493525,4930401,3854124,3975983,4223064,1901625,2669765,3026340,3127252,4070922,2900471,2835471,3043073,3277078,3838300,3191267,3500162,3158917,5668414,4586201,3131267,2846309,3527296,2244949,3510277,3801525
2021-11-01T07:15,3260846,2597434,3984513,2736181,3905938,2115242,5592844,4691753,3690775,4625630,3677749,5733017,4011121,4298924,3098020,2518419,5487625,3431189,2860237,5272668,5139348,4267137,3590926,2816473,3722750,3835016,2171162,2810576,4165892,2572238,2825928,3403509,3482818,3808940,3894567
2021-11-01T07:20,3716473,3632013,3757834,3958069,3676558,3567855,3579429,3056609,3025122,3873421,4140883,4968756,4249576,3351344,2914959,3195360,2877936,3238912,3746918,3862879,3538135,2684780,3308511,5116828,2916201,5401032,3374293,2568670,4001402,2567829,4368112,1561491,2916943,3697576,4775604
2021-11-01T07:25,4672583,3408386,4227063,2973783,2646436,3484476,2794138,3742326,3226348,3909849,3263628,2491641,2896678,4246794,2813202,3847679,3763473,3229080,3138571,3322334,4344626,2332425,6079819,5113617,2972158,2908158,2817183,3362803,4725635,5285207,4260433,2530498,3524233,3253658,3546875
2021-11-01T07:30,3842392,4271137,4140314,2335699,3680359,4199482,3038166,3562525,3175946,4100025,4074064,3509633,2852884,4846568,2171195,3806274,3424208,3556323,4217006,2531728,2385515,3837693,3934170,2898597,3220864,4243879,3926018,3651760,4051512,2689815,3544472,3409348,3505878,3904068,4336041
