mtime,AC,AL,AP,BJ,BQ,BS,BU,CG,CZ,DL,DU,DV,EM,EQ,FK,FZ,GH,GM,HI,HL,IL,IQ,IR,IV,KL,KX,L,LR,N,NO,QW,TU,TY,VX,WZ
2021-11-01T00:55,2228181,1591190,2216983,1523772,2996856,2631979,2312787,2561093,2710139,2457953,1590473,1759248,2784774,2865330,1189718,3054248,2177202,3139840,2547573,2273639,2695344,1743431,2049748,2833459,3576805,2263323,2055402,2605219,3108487,2283916,2228458,3800671,1936946,1928938,2285554
2021-11-01T01:00,2984656,3921974,2003714,3128124,2926966,2283693,1877210,2743237,2053700,1779193,2555720,3849251,3001402,3721564,2042113,1441687,2343838,3347212,3345453,2772947,2686191,2392343,3223846,1972278,3734080,2771318,776451,1865964,2554391,2890380,2432128,2008548,2125706,2022527,3010142
2021-11-01T01:05,2886244,3064033,1976836,2294081,1991344,3022373,2856108,3079169,2950479,1284335,2223176,2331509,3795103,3055246,2443736,2612149,2518304,2411072,3552259,1965957,1096174,2232715,1789146,3193877,4263344,2759843,3748797,2809661,2357477,1946225,2753160,2821921,2519817,3222599,1876006
2021-11-01T01:10,1870114,3190866,2138074,1516164,2475699,3437916,2482103,3122112,1902406,3318141,2399381,2359897,2489542,3360034,3175916,3071610,1771484,2954733,2986338,2712283,2192140,2905820,3401453,2611868,2329373,2873000,1774972,2599303,1724162,2677924,1682094,2269178,2423320,1372794,2686686
2021-11-01T01:15,1898247,3037138,1993223,2748078,1539165,2901205,1798961,2634763,2026975,1064285,2092316,2534419,4424698,3454124,2218572,2240997,1422198,2207276,1323419,2345026,2002653,2111917,2885843,2241557,4390968,2187865,2670181,3516282,3146326,4301938,2449316,1880993,2154840,2410928,3174763
2021-11-01T01:20,2516741,1955020,1253080,2618351,2225491,3945973,2491187,2623424,2018735,2471081,2303869,1997376,3023153,2194093,2226475,2339375,1042861,2799655,2521249,2264478,2059123,2221223,2386495,1357065,2878349,2101977,3017519,2198563,2573216,2627772,3099189,3343362,2121975,2512229,3695267
2021-11-01T01:25,1903143,2272580,1952636,4477389,1549791,1637953,2688991,2690462,2788986,2515941,2200046,1882165,2672549,2157192,2600842,2493753,962386,1940602,3265762,3222947,2001813,1560279,2205182,2195514,2288403,2589115,1249113,3669798,2304738,3185459,2038795,2770149,2466446,3151679,2903396
2021-11-01T01:30,1653882,3074549,1903708,1322107,1923201,2516314,1854256,3370072,2556328,2109193,2190679,2181410,4028462,4499623,2278043,2069215,1337423,2574295,1804685,2222339,2393772,2425982,2624753,1940790,4535498,1885226,2145031,1434542,3585563,2039133,2715721,2011119,2335990,2838073,2897330
2021-11-01T01:35,1707936,2409781,2258624,2469704,3464947,3536514,2733690,3138877,2974212,1579285,1559124,1944128,2373506,1687402,2097701,3052273,2341567,2106997,1771507,1741864,2020465,3124875,2568263,2005954,2902183,2479940,1622756,2237633,3841602,2688612,1858549,2323057,1435287,2772210,3244656
2021-11-01T01:40,1897771,2137941,2237293,2810807,1905746,3656569,1413975,3343426,2309049,2377526,2286560,2120322,3372088,2065848,2268961,2742013,2833619,2986735,3034234,2185096,2055451,2349729,2258261,2439859,2438590,2970987,1634678,2677082,1978645,2849892,3553554,1804818,2422238,2497408,1937778
2021-11-01T01:45,2071996,2751494,2807990,2768421,2484346,3245793,3160057,1624220,2040903,1878898,1857651,1856504,2624900,2733515,2550318,3650872,1910192,2686788,2408670,2423568,1203517,2125946,2101781,2063916,3476415,2511200,2825763,3153910,2683391,2829692,2931185,3475240,2293832,938179,2491337
2021-11-01T01:50,1967271,2696534,1219728,2594266,1801672,3027505,2559579,2388078,1709414,2504487,1715206,2466881,2985622,2500051,2631329,2149916,1548983,1749140,1946078,2122241,2332808,2785575,3570305,2430183,2396354,2267333,2861241,2360567,1684316,3097933,1710486,4378591,3038843,2565743,1545623
2021-11-01T01:55,2134743,1673289,1651361,2376080,1746987,3774768,1779541,1930454,1817974,2071569,2608855,2532834,3144383,3415569,2205560,1667293,1780481,2100721,2496399,1595805,1740155,1266923,2574615,1441423,2303808,3278489,2509861,2104225,3063680,2947863,1570885,1445744,2684830,1399960,2198600
2021-11-01T02:00,2624599,2031055,1969146,2128627,2726847,3065503,2943869,3748261,1866644,2377013,1944714,1587926,2451434,3528868,2585484,3914584,1567696,2042028,2340812,2094270,1713708,2269593,1513196,2336256,4177601,1359852,2355417,2788345,2710005,3245574,2232646,2768881,2831925,2320442,2759837
2021-11-01T02:05,3144614,2084595,1969053,1735829,2236145,2402574,2697430,2688001,1700969,1627339,1529879,2033274,3584827,3950693,2771445,2070294,2239221,1444052,1256667,2561733,1547225,2778598,3169461,2112921,3774873,2844611,2020406,2424018,2014159,3038274,1509026,2471266,2176495,3161983,2785167
2021-11-01T02:10,2309167,2678099,3101733,2646594,1765078,3133670,2664619,3935303,2446434,2167225,2598101,1596865,3238797,2619193,1841997,2829210,1649894,2818008,1752716,1865196,2471129,1118774,1896176,1763531,2784770,2862043,1541265,1687237,2564336,3131488,2076660,1810920,3008986,2371934,2530166
2021-11-01T02:15,1634565,2786442,2548203,3834771,2655733,2831215,2846789,2816735,1533350,2001325,1015137,1676391,2223751,2381445,2822868,2830390,2055437,2116637,2154400,2587888,2103819,2237850,3058636,1434033,2959484,3226408,2017779,2467231,2057907,3545169,1989170,1808260,2945181,2530810,2421133
2021-11-01T02:20,2207079,2146149,1974235,1544098,2192243,2279390,2346528,2441695,1779907,1824506,1834376,2713908,3590877,2944838,2510886,2637133,1833345,2364209,1657818,1994616,1350875,1926498,2635167,1679878,4055995,2141430,1702419,2313381,1187123,2814849,2010142,2340138,1698310,3098572,1463200
2021-11-01T02:25,1651003,2234542,2767239,3097201,2445308,3804115,1779850,1952250,2184555,1334517,2180386,2432484,4001165,2797412,3692032,3464073,1966535,2507717,2536132,2690044,2730731,3306185,3351797,1617005,3440510,2672198,1294802,2671526,1354676,3060068,2683996,3400985,2297130,3204963,2358533
2021-11-01T02:30,2822250,2515986,2263214,3296895,2407517,3359398,1871612,2389868,2808990,1934338,3488786,1956904,3511854,4368483,3520702,1642570,1193089,2657556,3421473,1869790,2677369,2111841,1759349,2061283,3290263,3554769,3511634,1925146,2421160,4044875,2481598,2394955,2400466,2864382,2581878
2021-11-01T02:35,1042168,3661595,2170681,1903114,2342501,3064275,3263010,3154647,3803629,1740972,2136739,3561031,3117620,2956268,2147497,2066620,1338371,1943824,1767657,1642734,1990653,2214742,2415224,2374207,3032351,2609167,2363758,1973778,2635859,3027582,3401447,3304809,2950755,1827251,2575630
2021-11-01T02:40,2289009,2877276,2537566,3800391,2396918,2878187,2346223,3600116,2753304,2048482,2803928,1580057,3665586,2635921,2930841,2345571,1152325,2559344,2455716,2109037,1680872,1490583,2812929,2290489,2633664,3195884,2231619,2711644,3116261,4309259,3366920,1133188,3722141,2777255,2533425
2021-11-01T02:45,3090441,2631096,1976746,3369970,1902723,2894843,2971028,2356617,3016326,1780969,2542769,2323254,2722810,1760580,2870428,2046157,1643717,3043142,2953734,1175246,2601123,2814705,1966628,1867817,2490209,2686120,1339044,2632231,2175780,1982815,2355787,1431670,3397069,1879589,1764763
2021-11-01T02:50,1215836,2745328,1998914,2508389,2664129,3727695,2046034,2555597,1736010,2585822,1789670,3072609,3832612,2550668,3102952,2579575,1038225,2338139,1821370,1415636,1095186,1682543,3169973,2688603,2857038,2673182,2319891,2086620,1666014,3666931,1664703,3541215,2367662,1998120,1273389
2021-11-01T02:55,1833477,2249431,1128480,3485722,2348242,1957564,2964966,3225990,3724634,2800015,2084566,1429705,2324117,2762145,2386901,2593451,2021176,1075572,2308148,1522537,3021213,1983661,3669869,2709421,3529565,2336853,2241173,1567471,2717170,2721729,2093627,2945613,3643080,2213318,2763667
2021-11-01T03:00,2641170,3197057,2135892,4244720,3329125,2946606,2379525,2850602,3275433,1991546,2200739,1895467,3153199,1635568,2332910,1981825,2069378,2493283,2123551,1660882,2636701,3859865,2742838,2209405,4006668,2823669,1920978,1729665,1953324,3173659,2851697,3196723,2833524,3407285,2692950
2021-11-01T03:05,1597257,3258284,1678119,2869124,2938089,3224961,2604077,3472456,2655693,1625570,1625107,1424864,2793420,2836069,3057428,1963082,1912451,2216863,1914658,2550736,1655716,2244318,3243012,2528617,1767335,1718560,2652068,2168003,2596711,3218408,1965731,2010716,3229533,3033369,1631403
2021-11-01T03:10,2475419,2683162,1996304,3430650,3203093,1621928,2952773,3463054,2243892,1833621,2283981,1961529,3869288,1718496,3080789,3067518,1205626,2943155,1495198,1553429,1845653,2842462,3042382,2318985,3381205,3421594,2625381,1474758,1914315,2497682,1941115,2843769,2538489,3005931,1312445
2021-11-01T03:15,1829364,2099480,1896518,1990424,2872525,2562933,2643049,2972791,1958384,3030194,2137425,2065993,2998479,3563441,2939151,3367282,2803171,3272909,2606467,2067311,1714291,2240321,3398945,2534459,2639330,2403163,2247027,1907189,2260152,2023952,2310791,3300816,3514982,2670740,2144724
2021-11-01T03:20,3064603,3394809,1050580,2219150,2605022,3023363,2770903,3649185,2511787,2669320,2736884,2660778,3202060,3366249,2384006,3566065,1471564,2304165,2375822,1428356,1475925,3760366,3736635,1649033,2706370,2067304,2115348,2681562,1533764,2430935,2139883,1597354,1395984,2281260,954537
2021-11-01T03:25,2764352,1176001,1568898,2368040,2267848,2581202,2903651,2585135,1991502,1407165,1395922,2052054,2659161,2600241,2606268,3213660,2118372,3622689,2661180,1972298,908426,3072856,3394108,2145572,2721157,3663288,1546406,1583061,1964338,3215902,2351904,2233864,2856349,2075573,2355430
2021-11-01T03:30,2655522,2114032,2502787,3614705,1632544,2847931,2837749,2402272,2212732,1217170,2104394,984219,3004507,3277315,2518094,3831296,2137815,2024170,2080202,1372664,1355326,2108950,2330243,1490778,3057160,2683628,2209270,1577002,1755105,2601662,2262960,2940003,3475253,1426653,2582646
2021-11-01T03:35,1541078,1715145,2454681,2577234,1069783,1903493,1595637,3433641,1134542,2362532,2170795,2853280,3184247,2743993,1911633,3977465,1427718,2346463,1772889,2114868,1401159,2443386,3640727,2369938,3668140,1882144,2835016,1669463,1901154,1396289,3519238,2912460,3101910,2709609,2322139
2021-11-01T03:40,2100542,2502191,2687192,1053282,3232338,2575792,2588452,3227083,2448285,2916590,2467325,2492440,3184452,3558188,2341791,2943025,2338518,2126672,1941890,1509190,2521149,2741511,2297202,2336852,3118755,2226922,1850969,1309089,2728883,2512593,2274462,3669061,2179388,2639146,2036993
2021-11-01T03:45,1489205,2145639,1532814,1433336,3009634,3248002,1929391,3751786,2870125,2693902,1585392,2395892,3385206,2197299,2484775,2923764,2250087,1838979,2627265,1748978,1460919,3766664,2091477,1857197,3604817,1875262,2696916,2226884,2608685,3033152,2285865,2677929,2781410,3124312,2176416
2021-11-01T03:50,1878904,2455228,1611968,2959326,1418715,1614721,1233684,1785475,3039614,1465757,1861658,2577834,3109443,1850286,2423539,2248279,919433,2578298,2522402,2206825,1992681,3089955,3125099,1226880,1552239,2853923,2394014,1897525,2586704,3150384,1390738,2888789,2818370,2828921,2010474
2021-11-01T03:55,1920891,2981032,2451410,3339200,1890762,1975133,3174243,3109692,2544239,2607762,1925724,2492712,2151728,4614063,2366676,2200010,2461304,1686032,3154122,1723920,1796065,2892571,2935293,1136487,3521113,2508883,1417286,1118125,2327811,2150318,2867700,3733864,2205263,2239042,2980571
2021-11-01T04:00,1752079,3729882,3214913,2665874,1802060,2612667,1809201,4606672,2321435,1797155,1627317,2717538,2347567,1430896,1630712,2691770,994413,2095760,1779730,2982821,1322372,3453814,2786830,2367144,4037949,2793665,1967441,1344260,2758258,3419136,2651466,2750244,2752461,2202111,2339878
2021-11-01T04:05,1277437,2786876,2079522,3405515,1978035,2985170,3392729,3218364,2650195,1674309,2132964,2297539,3166873,1481899,3801947,3560457,1529910,2218887,1691503,2799701,2346017,3260134,2256206,1711771,3734086,2396213,2231122,2606612,1646608,2998667,2731829,3663670,2550073,1272259,2842661
2021-11-01T04:10,1387025,2229859,1119099,2884314,2158237,2335292,2264947,1750293,3293413,1642141,2452253,2332434,3089885,2512463,2118095,2214342,955143,2629181,2567173,2083421,2430294,3062558,3220441,3246860,2146997,3273675,2614695,1052650,2933371,3363339,2435062,2647657,2979951,1976193,1723408
2021-11-01T04:15,3118306,2518383,1138226,3063444,2447385,2460156,1626275,3254470,3533523,2035571,1280855,2299431,3701282,3437299,2875621,2913085,2694638,2279114,2279147,3133935,1971919,2287189,3182225,2582739,2533785,2275573,1536240,2506661,2066484,2629204,2837802,1908636,2192095,2535717,2295641
2021-11-01T04:20,1384096,3332561,2029881,2298706,3418538,2740150,3150920,2674859,3318048,2876221,2211332,1827567,4485151,1630566,2989454,2203574,1634899,2723256,3420524,2427875,1567049,2591988,2232869,1979058,3483197,2547627,1936140,1642420,2212344,2970715,1704948,2798208,2564470,1962579,3196932
2021-11-01T04:25,1933756,1261214,1545775,3632879,1717120,2395646,3114020,2814254,2249407,1722758,1613663,2004082,3605184,2148154,2660428,2424373,1245097,2216299,1646684,1390046,2689232,2458184,3701997,1735120,1741883,2783789,2417407,2134101,3588856,2140229,2715032,2842410,1999921,2198992,1275705
2021-11-01T04:30,2492309,1736414,2378094,2593526,1803274,3088621,1744278,3333062,2320925,2410362,2051210,1470602,2944108,3105026,2571878,2990930,2826760,2810444,2314929,2226806,1214441,2895883,2785252,2132805,3099774,3313111,2428284,2086355,1443836,3282129,2524716,2533769,2158168,3223312,2529489
2021-11-01T04:35,2298908,1870643,3347550,2128734,1743828,2684255,2739498,2943064,2686129,2025832,2096003,1932434,3514862,3614696,2750161,1459657,2003284,1839140,1968698,2055348,2384928,3019608,2486598,1921295,2091975,3265320,2493642,2246780,1887629,2731756,2596252,2310986,2483482,1811809,2083666
2021-11-01T04:40,3322035,2814284,1690544,2458961,1689756,3536857,2493711,2870603,1921457,1930352,1357137,1023796,2984193,2205652,1849312,2431283,1606476,2421666,1772490,2388611,2529236,1963634,3225615,1756872,2293813,2278242,2588067,1722424,2647015,3315209,3181659,2441711,4305240,2883156,2291506
2021-11-01T04:45,2128106,2364409,2185249,1716446,2039687,2057791,3027299,2254537,2654680,1542287,1602097,2372087,2702158,2707112,3286888,3422962,1985447,1703040,2694615,1769895,2019649,3104963,3402221,1904550,2370181,2853325,1474096,1614128,1310568,2915920,2380549,1936786,1706813,1814160,1185244
2021-11-01T04:50,1596993,2298713,2189162,1836842,2812213,2810751,3249839,2330580,1828971,1916643,2227309,2368216,4645533,1997645,2956164,3677838,1344260,2209803,2605658,1837716,2455849,2114809,3919884,1926524,2739430,3601675,3351297,887057,2437418,2807168,3026636,2835363,2784977,2705559,1954849
2021-11-01T04:55,3519398,3726022,1441491,2640739,1537836,3232024,1350467,2581867,2117826,2558030,1804444,2187170,3555165,3084159,2383215,3713619,2903496,2753811,1569587,1768222,1549496,2195252,2136143,1997270,2991442,2931173,2709691,1695648,2351850,3023519,2626164,2969788,2079494,1380232,2103595
2021-11-01T05:00,2351337,3635182,2612864,2881625,1409548,3777338,1968519,4085269,2787022,1550143,2106613,1109621,3260125,2814909,2981955,2696702,1991039,2244602,1927482,2284894,1244584,2281968,2800203,2999029,3372333,1803675,1836355,1701664,3181370,4216553,2792921,2885184,1923023,2759012,1388798
2021-11-01T05:05,2514731,1226302,1681995,3612857,1295854,2309014,2599948,2928617,2416926,2538003,2252664,2113799,2042782,3228761,2097128,1358453,1653038,1884236,2282316,2138971,2003759,2414732,2866529,3361059,3610478,2035005,2420002,2055949,1308175,2605284,3474529,2627124,2753056,2857762,2785318
2021-11-01T05:10,1583594,1458443,1681303,2922154,2770672,2776793,2153106,3600294,2831194,2536917,2450300,2552244,3838346,3119209,2872591,2039782,2776296,2234318,1774583,2422790,2643009,2099588,1720403,2153926,2570483,1902934,1821620,1662400,2691816,3132863,2328672,3091357,2024954,2861643,2301909
2021-11-01T05:15,2510934,2135944,1951628,3650720,2725489,3095586,2203285,2925642,2751476,1340507,2729016,1843594,4267317,2770410,2182742,3067211,2317145,2246660,2845587,1813360,2539550,1723173,2042972,2723583,4419908,2182563,2414596,2365594,2680687,2782654,2366147,3635071,1300270,3443815,2371027
2021-11-01T05:20,2004205,1940648,2107999,2442470,2266814,2933808,2538808,2612098,1732788,2379121,1434202,2911059,3661507,3545397,3488620,2939236,2381301,2223542,2669175,2251863,2741870,2008775,2992449,2748509,2807442,1631720,2597677,2592607,1331824,3621679,2779727,2180106,3284901,1353812,1692341
2021-11-01T05:25,1202995,1981829,1778399,2655228,2258746,2730184,2561342,1785625,1842215,2447028,1482830,1707552,2878951,3421000,3004844,2334069,1912748,2013771,2062666,2316388,1488346,3036153,1725570,1791891,2626549,3064296,2603244,2085133,2746615,2239082,2087974,1583476,2579723,2581849,3144192
2021-11-01T05:30,2396334,2223450,2011187,2822889,2456711,2001212,1893455,1869038,2543570,2105133,1522503,2677830,2316370,1763334,2103885,3103988,1965736,2748675,1845652,2463719,2053068,2752937,3052270,1962100,3520392,2470474,1221490,2467466,2796951,2416300,2826835,1789494,2811375,3377823,2096899
2021-11-01T05:35,1771031,2597762,2573116,2319520,2509648,1772612,2359628,4168084,3239887,1821516,1858968,2155161,2998798,2322212,3384136,3233779,869690,3594056,1559474,2139735,2307543,1793880,2894352,1576914,1124426,2174909,2238508,3430011,2525676,3533134,1442147,2699133,2353691,2400890,2444461
2021-11-01T05:40,2495567,2287446,1661300,2897746,1674097,2897768,2155180,3886795,2562067,2277930,2918207,1985092,2563429,2502506,2371591,3389246,1955243,2405265,1719126,1197204,2381281,2441652,2844734,2782708,2653465,2883501,1681556,1319113,1867501,3048778,2613780,2108359,3168639,2848400,2769801
2021-11-01T05:45,2366287,2483656,1346626,3512074,1458199,3434219,2948663,1827500,2738889,2000887,2172417,2330448,3762277,3216115,3524696,3047777,1353403,2407343,2646284,1767211,1554272,2856139,3031599,2356990,1220148,2531587,2383676,1459363,1858887,2097259,2760695,2088627,1792247,1767708,2676827
2021-11-01T05:50,1796822,3784913,3117454,2547764,2574540,2792872,2306896,1996321,2943102,2073960,1327691,2564427,3157003,2709623,2196266,3014570,1463070,2855436,2172180,1970816,1508222,1843087,3399743,2567419,1294327,3778638,2749012,1348336,2529114,2353406,2065860,4333271,2107704,3012899,2929273
2021-11-01T05:55,1851880,2276924,1944158,2453218,2629030,2702069,3419804,1948409,2177818,2154421,2173620,1986390,2739942,2635939,2229908,2942689,1874227,1359036,2351983,1835988,2482547,3199720,2743888,2743927,2310849,3683545,2456469,2942076,2468671,4013577,2295320,2081500,3975574,2717093,2037090
2021-11-01T06:00,2007300,2869559,2111543,2025438,1393100,2390676,2628066,3857589,2027331,1998621,2153998,1610219,2484056,2894227,1963102,2456282,1160461,2042919,1558443,1966634,2254984,2400503,2605692,1918806,3327843,2422850,2091004,2376702,2630856,2597661,3858177,2709020,2489626,2886739,2070369
2021-11-01T06:05,1901543,2293670,3191746,2834628,2364902,3049050,2913854,1480159,2032154,2972737,2776797,1867170,2482158,2721701,1892064,2107390,2042280,1540883,1677470,1466931,1696878,2466340,2767669,1178586,2004755,3130702,1753607,2864695,2081778,3276770,2446069,3313787,1935462,1390529,1365620
2021-11-01T06:10,1904324,2401382,1723054,2541339,1760347,3003222,2273289,3323548,1724222,1905947,1727443,2595614,3983823,2983250,2962205,2561122,2222913,1792822,2253181,1631442,1874007,2927605,2920155,1745147,2722050,2398279,2425548,2659394,2456110,2841328,1850962,2192785,2409516,2414219,3400621
2021-11-01T06:15,2234822,2448475,1796460,3040372,2277924,3622460,2438091,2833028,2249328,1748529,2367671,1661257,3410040,2796056,3422116,3199599,1814731,2077936,851235,1746323,1138288,2456296,2560600,2145244,1834423,2151958,1854102,2563680,1804227,3040320,2354694,1816957,2968995,3139811,2331910
2021-11-01T06:20,1817068,2837483,2889990,2959984,2056285,3588356,3407873,3395215,3415570,1873433,2197793,2300579,2137779,2420806,1760063,1652946,957157,2772094,1744997,1785579,1553667,2262315,2904371,1695033,4382506,2702057,2812074,2679546,1988055,2794139,1629199,2952579,2519722,2347165,2583697
2021-11-01T06:25,1678999,2329061,1764597,2685901,2002741,2217402,2006165,2901218,1013195,1828918,2219620,1767395,2728963,2625499,3430687,2361171,1929888,1892317,1835302,1712777,1995190,3387775,2568106,1543148,3643449,2020658,3429603,1298424,1832797,3202307,2389682,2525392,2855135,1808109,2831395
2021-11-01T06:30,2078037,1954525,1912569,3464964,2917270,2988207,1430079,2431191,2018754,2432564,1300716,1968766,3812934,2035065,2228747,2151682,1858338,4351363,2593072,1715887,2072296,1410345,1910161,3200211,2206574,2977731,1837551,2453070,2279620,2387762,2474644,2990082,2727940,2970782,1303857
2021-11-01T06:35,1065334,2390921,2497165,2102787,1781708,4512520,1756972,2858665,2383775,1451267,2243675,2378700,4605566,2456616,1984137,1934445,2357441,2107267,2978846,2413469,1652987,1749624,2771844,2263717,2726732,2660788,2448642,3440228,2580906,2625067,1570032,2552670,2682099,1951691,1720332
2021-11-01T06:40,2084560,2847241,1835375,3276441,2664282,3701821,1106840,3263171,2865864,2796351,1722887,1847694,2990265,2487697,1589644,3211682,1396981,1870859,2267724,2436865,1919237,3475803,2759841,3530800,2440897,3437121,2605177,1823754,2622224,2441924,2766759,3491449,1850684,2877136,1976347
2021-11-01T06:45,2090774,2428835,1981418,3232615,1954084,1996428,2094176,2461353,1739177,2127300,1784149,2313424,3854953,3524024,2822734,4379015,1490526,3068649,1987988,2832101,2388678,3155445,3101910,1322825,2641889,1609556,2452880,2584911,2005002,2883024,3405818,2993175,2494470,2823182,2111155
2021-11-01T06:50,1601192,3264194,2086260,3442421,2782085,3520495,2745062,2255550,2770599,2168052,2555011,1865513,2850463,2944812,2650824,2773085,1098973,1641681,2478892,2422925,1766264,2035731,1869719,2820601,2737194,3463700,1850267,2187588,2065608,3225776,1866507,3245662,3015059,2533586,1858004
2021-11-01T06:55,2602446,1652786,3211021,4065454,2451356,2705458,2060258,3710881,2883140,1619345,1748009,2849097,3968066,2223102,2734753,2779883,1379470,1781256,1862033,2657306,2539217,2400859,2659789,2589558,2623100,2072584,2081473,1974585,2895682,2000466,2446317,3709611,2329421,2124645,2375127
2021-11-01T07:00,2140917,3701937,1864359,2051265,3370637,3053274,1273171,1545078,2004915,2693963,2528186,1674834,3912654,4070828,2743581,3079071,1457696,2332106,2518118,2580520,1956400,2620033,3659492,1943813,1953728,2555572,1384344,1895080,2140746,3548666,2577013,2252346,2805842,2612032,1803518
2021-11-01T07:05,1379623,3135264,1749159,2921965,2141915,3223499,1927494,3043021,2832890,1933134,2121901,2469942,2361580,2427876,3277282,2817758,1260767,1922732,2147419,2065604,3199245,2585860,1961559,3048773,2995685,2769033,2026439,3028364,2237606,2927468,2399462,2572382,3585511,1521680,2964693
2021-11-01T07:10,1698710,1494452,1428485,2711665,2738847,2293607,3182043,2621652,2844073,1726188,1568331,3324253,3361634,3226953,2822435,1759792,1211131,2155351,2910891,1657282,2662527,1760328,2486473,2558336,2986771,2121690,2757724,2552732,2731940,4068545,2644916,2383010,2301554,1532365,1972527
2021-11-01T07:15,2523252,2453540,2358841,4285296,1496577,2131018,2872218,1985508,2832349,2190795,2737915,2142350,3004677,2568510,3284707,2708450,1592346,2753631,1354467,1667672,1550618,2474141,2843351,2076107,2811400,3184283,2566206,1902095,1360293,2696472,3221055,1599791,1758521,3205903,1751404
2021-11-01T07:20,3533833,3442042,1926698,2545507,2112614,2187806,2484978,3639569,2716192,2662820,1566769,2856832,3969543,1622370,2251791,2967735,1818724,2089419,1230538,2903260,1665199,1949726,1678221,1148529,3367701,2781506,1846337,1699978,2965803,2515685,2492930,2702405,2967608,2036969,3007155
2021-11-01T07:25,2679994,2532873,2262102,2668701,2584836,3125950,834727,3967339,1129061,2822955,1985051,1960750,1968202,2970991,2831628,2890809,2542567,2212192,3441702,2306057,2092951,2194768,3260127,1710459,2198037,2998305,1880530,1936115,2070943,2745077,1788685,2811116,2486065,2700420,2093360
2021-11-01T07:30,3320385,2641648,2708511,2802208,1805735,3442733,3107114,2844214,3024150,2013428,2451256,3489351,2852461,1659152,2682865,3770369,1129374,2342045,1857993,2584599,1417187,1037196,3459743,1460630,2317064,2669307,2227599,2383908,2298318,3548441,2421215,2419933,2715563,3568677,2303709
