mtime,AD,AF,BG,BO,CR,CS,CV,DR,DV,DW,EN,GL,GP,GU,HL,HM,IO,IW,IY,JK,JL,LM,LP,LQ,M,MT,MX,NP,NS,QR,QT,S,SZ
2021-11-01T00:50,1781255,3286475,4055915,2841388,3141624,2164653,2175883,3188868,1744762,3274868,2640075,2524266,2248727,3310123,4829415,3065586,2450176,3209603,2842952,2911737,3160098,3329820,3724806,3565455,4114178,2431215,2907574,3516230,1617972,2363054,3608451,2985660,2554589
2021-11-01T00:55,1430167,4250227,2984134,2597516,3752979,3666229,3248614,5393294,3474452,3393097,3275259,1902104,3150770,2707087,4238933,2834481,3316782,3968332,2147663,3353170,3579174,3667363,3471142,3467772,3725733,1960097,3827382,2935916,1567046,1606164,2318031,3519467,3554835
2021-11-01T01:00,1865629,3553073,2886507,2823001,4127301,2375861,2040335,3939629,2784127,2775757,4135960,2438242,2677716,2949331,3180616,3143344,3428044,2412813,4834645,3804833,2908345,2938876,3126471,3611927,3193532,3237840,3548669,3195232,2490551,2535920,3122801,3374238,3692726
2021-11-01T01:05,1919250,3335887,3945397,3013430,2650554,2929535,2404570,3611299,2947278,3084872,1945581,2428258,3242273,3985765,3920891,3333039,3431418,3195791,2753923,3633041,4942983,1722824,2368670,2604061,2554070,2168258,3204819,2837987,2581145,2883317,3177598,3326022,3597546
2021-11-01T01:10,1991808,4140418,3050771,1610265,3302052,4030659,1955476,2780988,2746671,4497037,2230183,2680196,3171273,2809559,4721016,2206112,2572023,4376020,3988102,2908669,2890649,3486521,3557525,2341012,3072833,2168870,2597547,2975639,1872677,1997947,3390101,2977525,2676472
2021-11-01T01:15,3039096,3204355,3895694,2359848,3545126,2377437,3219438,2879923,1823906,2611535,1625064,1443861,2902204,3479216,3758777,4120054,2949081,2795186,3673995,2530065,2431462,2885129,2525671,3264438,3335501,2460746,3039155,3935186,1366160,1881740,2726462,1501363,4277138
2021-11-01T01:20,2551481,2551784,3418670,1965712,3315317,3182052,1892785,3883888,2866579,3479482,3474712,3157265,2234571,3062084,3686795,3418184,2259149,2618192,4605380,3722183,2986379,2717884,3358835,3533844,3180516,4114647,3554998,2900807,2877560,3435501,3756374,2691080,3737298
2021-11-01T01:25,2524567,4495720,2699953,2222460,3738408,3560035,2777855,3716979,2919973,3617388,4842135,2000181,3468538,3953159,5300108,3313014,3452649,1998771,2425238,3000419,2819050,2367988,3410115,3443746,4221104,2815002,2920458,3543794,2057381,2734249,4469633,3601323,2736385
2021-11-01T01:30,3685370,4352809,3386796,3249330,3169948,2815739,2358541,3846845,2947067,2107417,3051398,2202547,3832604,3129387,3502875,2510675,2332335,2367252,2305322,2567471,2295110,2675054,3534865,2681320,3365107,3149535,3690390,3023472,1599162,2345754,2231859,2741990,2832628
2021-11-01T01:35,1843783,2725691,4617955,3329057,2522196,4905941,2485908,2985585,1931997,2590574,3024768,2819839,3345008,2360708,2763706,3785969,2744215,3174058,4248580,1702717,2682479,3543579,2644169,2480346,1912843,3064886,3239937,4040776,1832185,2200121,3419042,1743554,4117741
2021-11-01T01:40,2474245,3630402,3299470,3103501,3221160,3359151,1646059,4509987,2348692,2837719,2729304,2552394,3220795,3683315,2448387,3518619,2477690,3456648,1988604,2924136,2981705,3244636,3425320,3854297,3851967,3136173,2690272,4787788,2818319,1410560,1837383,2590100,3617320
2021-11-01T01:45,2734639,4314078,3736386,1691016,1422665,3561552,2645514,5144787,2935999,2898402,2777867,3158802,3480619,3290395,3718269,2419449,2729321,3979806,4252698,2924532,2866456,2612025,3712857,4058722,2959071,3345481,2848448,4318915,2613825,2651262,3024332,1447138,3072151
2021-11-01T01:50,3585353,2414725,1961098,3396658,2912494,1659201,3202375,2853921,3338060,2700045,3214847,3033066,3516004,2503924,3811522,2142231,1795801,3843222,3997284,3723302,3447256,2362343,1897678,2852010,2331723,3764092,3251662,3726229,2744973,1516214,2224600,2613450,3504475
2021-11-01T01:55,2080008,2993796,4224538,3599931,2251880,2398748,2517287,3926461,3119805,3272424,4241378,2197602,2153929,2275619,4504596,3405634,2494570,2795014,3078347,3318275,3142165,2283102,3057591,2831003,3109220,2472080,2359789,2635131,1957519,2141082,3904393,3448893,3480984
2021-11-01T02:00,2958271,4511696,3174359,1954001,2930664,3014525,2193746,3518968,2286415,2634047,3294994,2627057,2465094,3376094,5526875,2586298,2630520,3748860,2067686,3732720,2765778,2168315,3854862,3839093,2225090,3561463,2826363,3372086,1402093,2786538,2108101,1956066,2827709
2021-11-01T02:05,2809596,3038307,3711283,3218968,1508473,2871250,3024243,3481136,2031782,2953527,4563350,1521386,3748299,3519612,3662232,2847165,2240630,839914,3647772,3564846,2296319,3071973,3318479,3014728,2763592,2692805,2541176,4066756,3035727,2446373,2838928,3390928,3114287
2021-11-01T02:10,2807257,3451636,2302154,3611736,2395826,2797327,3114130,3568518,2705914,2633674,3879020,2371245,1587383,2010190,5153583,3423819,4221401,1905377,2730136,2467661,1623255,4301176,2929186,2552991,2698704,1851599,3631654,2515806,2155796,2888513,3940739,3293328,2829574
2021-11-01T02:15,2406427,3361520,1902631,2895204,2761270,2028662,2219099,2912106,3731720,3836496,2658263,2153824,2791535,2053407,3300256,2767263,2530990,2397529,3370130,3350278,3760945,3343481,3668637,2588702,2587266,2709351,2777257,4197867,2659572,3486915,2768251,3410328,4243055
2021-11-01T02:20,2707563,4512748,2440082,2473008,3736717,3138109,3009127,3813275,3389203,2654949,3719203,665482,2760439,2665128,4171054,2087088,2360151,2559321,2062306,3650258,2653229,3393486,2809063,3159351,2823339,4439245,2850674,3516803,2686231,2307483,3907923,4007628,3863242
2021-11-01T02:25,2933600,3351698,1610856,3116495,2242184,2879655,2221414,2008980,2363836,2369588,4408486,2642820,2607022,3153138,2767042,1857349,3275002,3226322,3923086,3671238,2306283,3076019,2451676,2799208,3840844,2541301,2360196,2791531,1696935,2292135,3251395,3308708,2614842
2021-11-01T02:30,3506361,2532796,2828807,3440374,3380414,3752077,2429927,2136317,2164685,2790705,3709382,3119325,2928121,2485674,4415326,3425769,3342364,1372584,2930039,2132234,2881287,2165708,3243079,3308199,3660886,2638570,3807502,2352954,1582159,1741597,1519800,2340605,2558574
2021-11-01T02:35,1733101,4005991,1704381,4034695,3170836,1597484,2879794,2637817,1939665,2792220,3108505,2757992,4144942,1877774,4005831,2254098,1706551,2294210,2426450,2786466,2492357,2002664,2336677,3170406,3449351,2665365,2850876,2896646,1784952,2706189,3210053,2417712,1672095
2021-11-01T02:40,3796898,2531896,3747552,2272919,2536454,3141720,2788507,4717356,2537504,3253961,2687835,1816782,3291721,2633023,4687559,3532045,2721015,1649748,2319121,1920960,3470975,4256582,3271750,3877703,2774408,2595323,2673059,3802398,1798810,2767296,3100216,3017312,3411873
2021-11-01T02:45,3016151,4157787,2718771,2962194,1824104,3676304,2213200,3055184,2873764,4018421,3220294,1909634,2491743,3229837,4040238,2806964,2489256,3172489,2102887,2858011,3793634,3172758,1774302,3664606,2980182,2885350,3100698,3880915,2344934,2849922,1714039,2564757,3637568
2021-11-01T02:50,3095685,3578095,2855162,3386039,3577993,2816644,2265351,3581841,4646473,4314940,2836355,2357042,3150822,2830942,4299872,1991837,2387882,3334264,2936488,2046839,2943245,2584922,2591397,2794361,3538343,3566311,3628396,3387132,2307814,1382068,3638024,2969577,3042794
2021-11-01T02:55,3268820,2933878,3019446,2883060,2517423,2495671,2091152,2783211,1757041,2463821,3415670,2235796,3137265,3552229,5221054,3384558,2708100,2760887,2925626,3445880,3390378,2680133,2902677,2780654,3557897,2164006,1826730,3204565,2007884,2841598,2443602,2849568,3257660
2021-11-01T03:00,2540140,4007525,3259606,3483031,3155667,3263408,3762463,2900800,2350255,3731472,3500544,2731200,2143156,3793954,4400456,2798917,2215226,3201055,2364032,3943587,1422830,3309793,2290087,2940875,2859407,3578230,3050658,4300556,1222676,1772852,2968404,3546662,2800362
2021-11-01T03:05,2522152,3511585,2796057,1889452,2329405,3191535,3098836,3636449,2315067,3122508,3575254,1492288,3599736,2236619,3444889,3476227,3336154,2416878,3294735,1972747,3149303,2277172,3589699,3176268,2239260,2197493,4103549,3221991,2327262,2605508,4397050,2085161,3047069
2021-11-01T03:10,2066719,3489214,2650423,3325013,3966361,3085465,2276328,2343704,2471308,2130320,3196882,1909845,3063946,2333601,3910793,2247043,2525861,3613667,2867910,2403044,1805994,2726719,3364722,4004216,3918820,2638692,3471008,3903218,1947488,2118820,3194356,2932515,2751737
2021-11-01T03:15,2943028,3233759,3092468,2667631,3695437,3930040,2865112,4181652,2238173,2150405,3200042,3005355,3029468,3420558,4142278,2337993,2691207,3093335,2781416,2886918,2841357,2818284,3610331,2837228,2057736,3177569,2309374,2764437,2254430,1861159,2180384,3228957,3352649
2021-11-01T03:20,2620480,2808466,3301407,2817572,4294271,3373860,3260578,2638471,3165164,2342023,3562437,2855385,3300255,3628734,3450590,2853426,2351170,1403375,3529428,3035100,3266388,3798474,2986209,3524564,2767571,2715900,3313699,2936290,1893944,2976305,3248396,2513913,2560026
2021-11-01T03:25,1864055,2318720,3037856,2277798,3721025,4222430,2782040,2687924,3658605,2514028,3274123,2639875,2350651,3119514,4342260,3439564,4074329,2215947,3382244,3209747,3762113,2014838,2052132,4105069,2602570,3378460,3437700,4389626,3227589,2558225,2922902,2877338,2741283
2021-11-01T03:30,3141761,4534469,1828036,2902665,3488215,2160850,3550595,2526834,2292769,3590807,2458695,2975887,2561102,3600311,3332140,3714946,2674687,2087576,2596418,2269041,3525841,2419199,2127191,4972852,3597345,3491505,4028093,3868483,2225598,2710481,2798099,2945847,3579847
2021-11-01T03:35,2302750,3649111,4249571,2984225,3673427,3497763,2842743,5285456,3639606,4398522,4210348,2502732,3070401,2816605,3562988,2760685,1975004,3226548,2079315,3071193,1764644,2594594,2782070,2966536,2816180,4112483,3825898,3369216,1875733,3401783,2125416,2141057,3323726
2021-11-01T03:40,2788459,4294565,3018036,1969418,3133096,3084599,2632173,3305130,3128677,3688261,2364318,2756296,3239881,3085097,3515396,1852443,2965650,2878315,3368987,2444961,2860749,2824071,3236693,4597344,4394881,3104900,3056286,4757335,2542402,1520888,2244443,3717853,2595178
2021-11-01T03:45,2286736,3000319,2740143,3984425,2270477,3666695,2323796,4129647,2593229,4793357,3058870,2093344,2022879,2971370,3141621,3167018,2455044,3237920,3048455,3120068,4110337,2744801,2242567,2965781,2982065,2796968,4397849,4978235,3361292,3105757,3251868,3398336,1819471
2021-11-01T03:50,3416218,4086478,2162955,2025238,3389817,2180452,1650782,2462236,3574513,2880814,3911280,2266805,3120026,2862882,4218576,3509566,3187003,3032497,2910140,3895055,3121126,4334434,3552259,4595767,3112538,2255590,3035268,3621270,2187995,2086940,2530790,2898599,3658245
2021-11-01T03:55,3493113,3200195,3492133,3050802,4393945,1779667,3101136,3696492,2112973,2983749,2432083,3416132,2439988,4098318,5942676,2546130,2041545,2126507,2035333,3396309,2547726,2560493,2719851,3681610,2922806,3102578,2801428,2806253,1405453,1961729,3404285,3476782,3265391
2021-11-01T04:00,1455835,2851625,1959333,2100676,2144690,2090523,2860848,4259927,2524695,3261408,3286431,2889374,3287120,3925093,4549238,2789084,3175137,2827772,3971893,3118939,2812392,3351512,2471155,2306034,2877962,2289924,3977573,2987912,1633718,2838492,2854073,2402726,2433476
2021-11-01T04:05,2303749,5115092,3167451,2722655,3364595,3652174,2454407,2829744,2702519,2076127,2353483,2320287,3091906,2855500,3187631,2298353,3579783,3222281,2041760,2126893,2821892,2667269,2663203,2968888,3314141,3121601,4550785,5433723,2670396,3133561,3760321,2912763,1920035
2021-11-01T04:10,1944222,2199531,2642128,2933579,3342685,2386301,2044902,2708635,2835608,2044235,2699832,2690581,3645442,2717911,3269176,2921316,3011484,2851630,3959805,3952299,2148354,3865879,3023646,3154125,3921353,2920544,3238086,3752660,2666547,2216579,3746596,3578595,3305959
2021-11-01T04:15,3010467,3601520,3651562,3470945,3121805,2725751,1930392,3059354,2621647,2263299,2430882,3252357,2774241,3604503,3537448,4448497,2827981,2691020,2622531,3028411,2775832,2479949,3528870,3772076,3788852,2281879,2407097,5363146,3152526,1935349,1601939,2419054,3019357
2021-11-01T04:20,2632656,3540538,2224140,3767501,2710947,3917740,2867557,4843861,2526528,2707858,2244076,1918360,3563795,2282171,5346675,2355645,2507633,3853410,2917483,3200494,2733845,2995645,2557551,4122920,3933545,5313198,3494749,2804069,2330231,1974050,1771221,3091068,3407561
2021-11-01T04:25,2999933,5082619,3765488,2784666,2209071,3360767,2334398,3462906,2663654,2962489,2972698,2790511,2683748,3316609,3902732,2331555,3142752,3690112,2831822,2631547,3695843,2374598,1999897,2311902,3765483,1668903,3393876,2867152,2517218,2915232,1845665,2335678,2973958
2021-11-01T04:30,3033701,2633865,2544234,3511861,2770856,3393660,3141580,3683500,2254055,2750703,2926494,2537493,3801937,4242801,4649258,2788079,2297396,2175380,3602925,3134681,2344043,3628129,3836070,3070218,2424766,3918504,2358536,2824533,2395154,2061458,2725445,3228792,3154972
2021-11-01T04:35,2738621,2571402,2374787,4008344,2787279,3114567,2492510,3353817,4871863,2397908,4464871,3197890,3999030,2469671,4631484,2716119,2565892,1574709,2550801,2138009,3314319,2691302,2927413,2904443,2129885,3236137,2834468,2970401,1089231,2375569,2148304,3842164,3241787
2021-11-01T04:40,2085393,3635519,2574175,3245977,2596703,3278345,2849287,3130605,3728164,3440219,3742571,3566797,3831649,2962399,4106162,2021064,2102211,3153955,3348089,3207275,3002283,2802008,3127466,2866551,2386378,3229446,2521267,2799540,3473104,2194366,2363769,2660361,3536937
2021-11-01T04:45,3191033,2408547,3218691,2834076,2192549,3249675,1876039,2689293,2971066,1671425,1531731,2317919,1507573,2898673,4555122,2465520,1984560,2311824,2713538,3668789,2479650,2425859,3303663,4079989,3328569,1897540,2593722,3596606,2857698,2568276,3270905,3241684,3832799
2021-11-01T04:50,2824344,4155848,2493218,2587112,3721987,2567314,2271614,3709204,1661296,4308924,2904808,2333415,3701267,3560705,3918996,2989755,3297416,2190450,3279451,1809821,2981708,3402584,3507373,2878854,3256517,3448073,1425322,2317627,2632413,2539549,3813035,2513341,2823993
2021-11-01T04:55,3196751,4100258,2834832,3738343,2670503,3913201,2333785,4516018,2828736,2933548,2321890,3813882,4010700,3932692,3392816,3371224,1333652,2860125,2324757,2771394,3018762,1155015,4175432,4152960,2930738,2866101,2291148,4482585,2175385,1368588,3350871,2939740,2265350
2021-11-01T05:00,2570829,3085101,2704564,4088370,2848796,2660207,3242886,3547053,3015930,3157775,1472719,2064223,2488211,4487700,3623341,3095167,2457922,2483628,3134149,2285267,4121523,2779749,2175767,3688621,2079098,2585688,3034424,4632806,1458684,2590144,3624497,3366125,2456637
2021-11-01T05:05,3151152,2968258,4120742,2642163,3069635,2638321,998897,3554437,3677989,2138432,3227730,1813241,1876367,2531343,3393439,3063417,1894840,2600906,2227846,2537374,3429967,2671294,2733822,2625689,2950199,2044764,3360018,4378454,2243142,4211522,2312348,3883574,2228584
2021-11-01T05:10,2005898,3258990,4228760,1802799,2052496,2460257,3086557,4318307,2483353,4081046,3017779,2207655,2420950,2796688,3053698,3019350,3460758,3571024,2609299,2332269,2341913,3107040,3365675,4485751,3604809,2253298,2590952,2847438,2179839,3096685,3376199,3140461,3097237
2021-11-01T05:15,3382313,3144920,2281860,3588718,3039428,3377628,2169102,1996573,2691072,3685021,1616328,2157036,3636334,2624718,3416319,2075024,2690100,1819867,1883040,2972289,3072891,2365497,3174486,2891689,3974766,2452276,3795554,3443702,3291453,2709424,3495494,3188746,3510822
2021-11-01T05:20,3128130,2851807,2702605,4359059,3355639,1916970,2196102,3341637,3662077,2991437,2635230,2567804,3060371,2845902,4128274,2971499,2048904,2447886,2212049,2702233,3471754,4752704,2708954,3310349,2468025,2783642,2933058,2632094,2462779,2809978,2211916,3462222,3333308
2021-11-01T05:25,2664622,4071507,2724530,2868181,3353826,2287070,2022417,3941783,1730020,3363250,3018774,1793757,3165743,3375794,3853591,2221419,3271294,2174067,2331851,3614987,3524237,2290849,3007383,3278734,3762113,3013132,2972535,2096578,1764333,2501940,2777201,3389041,2454085
2021-11-01T05:30,2559069,2954706,3421697,3089196,3670215,4212959,3384496,1752031,2574429,2736742,2740476,2594681,3308358,3722944,4660805,3077769,3378964,2978834,3891995,2192774,2424428,2247843,3214274,3497664,2530771,3070899,2235454,3434773,1447292,1694504,2852773,3178714,1798375
2021-11-01T05:35,3494664,2461550,3068254,1783969,2388276,2915678,1631963,3246239,3031354,3028609,4135163,1916177,2570061,4748286,3517153,3335037,2315404,3061008,3636971,1611591,3981873,2171299,3296090,3634904,3258951,3024689,2807586,2579790,3081866,2375910,2182394,1914738,3112540
2021-11-01T05:40,2519633,4065386,3846502,2880693,3018548,3126170,1658710,3079934,2041802,2956954,2513897,2501067,3135383,2001069,4536982,2400798,1967332,2822100,1754799,4569174,2063700,3871966,3376545,3640008,3626316,2690751,4088273,3123957,2714674,2044574,2558100,2810121,3078980
2021-11-01T05:45,2664267,3467335,3394020,2949808,2449473,2832048,3093533,2220785,2690322,2445808,4221933,4612669,2427362,2604797,4011064,2380304,2349025,3147591,3137423,3043233,1862076,3161236,2709547,3327701,3604233,2292930,3348163,2873111,2492650,2393526,3031048,3445902,2350510
2021-11-01T05:50,4232600,4837243,2089946,4217656,4145954,2428611,2491115,2197711,1918657,3610767,2726558,2132260,2805550,2980063,3267129,2507932,2508538,2591377,2563434,1796105,3404274,3480772,2109813,2956939,3382486,4086496,3395946,3394239,2914315,3293160,2098372,2421782,2417744
2021-11-01T05:55,2575696,3163580,4322803,3630204,2915122,3218035,1055951,3350754,2368296,2733765,3736145,1659029,2550963,3381548,2950813,3189548,2558411,2051747,3339216,3100204,2866553,2851130,4425577,3009289,3496312,2681903,1694595,2942122,2802077,3525446,3165961,3276213,2773326
2021-11-01T06:00,3128481,3221024,2807539,3903216,3973923,2316836,2349847,3031128,2067601,3391898,2585775,2738409,2430267,2523411,2662378,1318729,1799828,2952267,2716127,2517703,3445812,2069375,2772597,2892824,3385616,2633116,2184203,2374779,2796597,2354009,2933377,3266272,3081296
2021-11-01T06:05,4278857,3243259,2775348,2931818,2261228,2951033,2311856,3165991,3686717,3698365,3618443,2225661,2055405,2948321,5007088,3502560,2689619,4271054,2730459,1654426,1956928,2411188,2917287,2959525,2447239,3203613,3056084,3193445,1299764,1914670,3101333,3228534,3014154
2021-11-01T06:10,2300239,2798055,2991270,3121815,3046718,3706462,1972161,3140448,2125464,4269164,3486339,3041844,2973181,1221550,3424045,2337886,3270340,3676526,2513386,2516603,2844321,3047084,2233451,3678397,3447337,1919948,3008146,3258556,2742861,3265708,2799957,2691354,4271394
2021-11-01T06:15,2868109,3607811,3041849,2677332,3703281,2362479,1921675,3430279,3567338,2578641,2624120,2644469,3119462,4180770,4927569,2420796,1883081,2467358,1884679,1739284,2816914,3531324,3023906,3615261,3379042,3519005,3142781,2880521,2702188,1866762,2167962,3120372,3190134
2021-11-01T06:20,3637478,3123366,3127609,2321529,2261595,2766836,2618467,2342785,3304679,2601883,2660014,2692202,4167471,2085640,3015116,2440757,3904997,1734001,3563614,3714445,3234939,4182210,3007460,3229173,3613245,3230049,2546190,3293072,2482655,2448492,1331669,3159912,3525297
2021-11-01T06:25,2415433,3496987,2757695,2606376,3561992,4254083,2388096,3536549,2971789,1971495,2820459,2253268,3122443,3565256,4121423,2835566,2667873,3473052,2238562,2468733,3210184,4280395,3172690,3484558,2910086,2737209,3163989,4025994,2255455,2777742,2061317,3676553,2148129
2021-11-01T06:30,2486536,2771131,3208619,3118202,2430858,3548769,3332014,4608674,2407357,2517100,2050457,1713713,3720851,2897726,4973055,2938021,3032567,2428183,2724074,2308320,2145321,3118052,3739253,3921712,2134991,2677328,3510947,3370926,1575595,1811714,3335163,3613213,4367842
2021-11-01T06:35,3216207,3013333,2477331,3078449,2939305,2482347,2527140,1826208,3030667,2625242,2303950,3769772,3099706,3176965,2892305,3158093,2359758,2729068,3711169,2478187,2089627,2934746,3177858,3971936,2227807,1513150,3122148,3555736,2644810,3010508,1827970,2947427,3308940
2021-11-01T06:40,2896648,2809017,3393082,3136956,2533661,3094755,3418316,3612785,3879629,1746660,3962264,2810511,2103808,3279792,4829719,2067871,2614069,2502165,2454977,3272299,2768814,3015208,2190460,2876993,4818421,3758465,3099258,3800531,2575334,2889194,2704449,2809219,2221365
2021-11-01T06:45,2355328,2677494,4187018,4378198,2538335,3291896,2359891,3490464,2068325,3941029,3649755,2571114,4336317,2276322,3202963,2312029,1852911,2214903,2867870,2920714,3899020,2404835,2569340,2608390,3190597,3966483,4232761,4367045,2052691,3358803,3423331,2583220,4089193
2021-11-01T06:50,3827903,3229789,2719580,3348761,2687350,2877823,2707339,2930827,4050579,2008803,2217556,3631693,3255502,2831462,3658422,3189217,2362985,2677116,1721786,3299976,3654208,2382818,3112541,3474396,2739901,2945368,2472801,3653228,1625851,3062105,2612091,3889603,3332217
2021-11-01T06:55,2671329,5190386,3199867,3030866,1648328,2691238,1727931,3255319,1737294,4275932,3438989,2224140,2988278,1904397,3867140,2491153,2235731,2391494,2610703,3724619,3278877,2056954,3111604,2847906,2550384,1978548,2452036,3859728,1857145,1990059,2825458,2819563,3957095
2021-11-01T07:00,3133393,4312632,2980928,3340758,2796984,2261345,2639962,3843454,3626268,3360257,2863298,2018821,3323539,1939548,3808615,3855451,2736980,2334777,2063523,3605617,2674137,2491667,1430522,3116306,3114560,3958427,2694254,4475239,2938155,2562666,2319178,4131909,2800335
2021-11-01T07:05,2903471,2502429,2401274,3734550,3490189,1112480,3271857,3567269,2403046,2104426,3903714,3045061,2419802,2542179,3524168,3228741,2514224,2055460,2864652,3244934,3571684,3750650,2976103,2728652,3985626,2657420,2295278,2790213,2843128,2311279,4070345,2647572,3202128
2021-11-01T07:10,2623354,3686024,2362942,2336970,2980047,2868469,3972816,3836121,2892389,3648180,1678216,2636130,4470599,3649038,2862469,2837663,2830746,2459003,3570051,2811323,3233747,3373006,3447010,3524665,3667007,4461431,2852973,2810547,2048424,2913304,3727699,2521786,3308475
2021-11-01T07:15,2619242,2547112,2205940,2519887,2537225,4020454,3012794,2420878,2098461,2865852,3675746,2819167,3026541,2651517,5339510,2645536,1835109,3168197,2739491,2362864,3980686,2428691,3610962,3126284,3840652,3815162,2488851,2568571,1768317,2536060,3642887,3828834,3819761
2021-11-01T07:20,2135287,2219293,3760775,2237995,2341674,2745633,2205327,4031032,3620834,2406015,2915574,3354165,3111456,3834450,3802382,3124964,1468505,3149677,2075413,2951902,2966538,2064735,1958867,2364176,3180085,3330110,2432650,3011737,1397144,2439965,2858102,2850139,2424914
2021-11-01T07:25,3103810,3808670,3711474,1972873,3464351,3269702,2462665,3242839,3579849,3970742,2430918,3108306,2894486,3229502,4184392,2968737,3587545,3101412,3065926,3044454,3228847,2599660,3293685,2802363,3046786,3293007,3731867,3210106,2561403,2232947,3120137,3158021,3522350
2021-11-01T07:30,1997738,3837923,3472254,3627472,4808364,3241364,2921194,3191786,3291336,2467081,2782133,1504926,3472494,4754418,3660631,3686306,1972133,3145441,4237556,2807658,3450129,3396444,1817986,1691207,2391356,2170679,3134440,2053611,1482573,2037531,2847628,2635487,3459934
2021-11-01T07:35,2365167,4372451,3446493,2027107,2552983,2284951,2033799,2705429,3193929,2282639,3233643,2744494,2622673,2786053,4422627,3705705,2678397,2573862,3308119,2103889,2547310,3324395,2980611,2751863,2591798,3125367,2710890,3257119,1545159,2357701,2218637,2047751,3267382
2021-11-01T07:40,3816930,2876353,1402206,3207654,2635498,1921783,2567395,5148105,3027133,1922669,1694228,1828334,3374788,3020478,3845064,3761497,2792860,1259410,2323322,2999896,2491667,1900966,2307662,3635165,3893042,3483656,2730317,4443892,1477153,3597650,3777065,4323859,3507277
2021-11-01T07:45,2903014,3563742,2896141,2942276,3309113,3380519,2833596,3355129,2202403,3658185,3220333,3729140,2687868,2973435,3474819,2424401,3074606,2549863,2500663,4206445,2904509,1914553,2645176,3697854,2629952,2183114,3284797,3294234,2518588,2567181,3372725,3029686,3891908
2021-11-01T07:50,3217693,4536508,3137451,3279073,3283918,3087551,2576389,3709233,2176108,3345870,3157953,1047995,3368020,3796842,4378548,2962972,2162565,2670562,2410729,2929413,3300701,2504931,3522029,4138372,1623205,3576261,2390560,3868129,2012682,2640428,3303716,3139056,3636172
2021-11-01T07:55,2002974,2072149,2202795,2816469,2650905,3853686,3210351,4288165,3015261,3938699,2159180,1837647,2721747,3341228,3468567,2238913,3046223,3377338,2135890,3283696,1659451,2424128,3153124,2959649,3182565,3162870,2358386,4545561,1780711,2868881,3625454,2787943,2817799
