mtime,AI,AM,AP,BS,BT,CI,CR,CU,CZ,DO,DT,DU,DV,E,EV,EY,GK,IJ,JR,JS,JX,KN,KS,KT,KV,LQ,LT,M,NO,NR,NW,Q,RW,UV,Y
2021-11-01T01:35,3982323,2685431,2339844,2822862,4444786,2138265,4283187,5256591,4569160,3100174,3892635,2709947,2836108,3670872,2980341,2850176,3290594,3140076,3262207,3063310,3101416,3342221,4311301,3655246,4078701,2955307,3072596,1917804,4685118,4142387,3239900,3942007,3532765,3633324,4679794
2021-11-01T01:40,2273581,2830037,5738695,3861418,3354375,4796073,3549141,4191529,3082313,4590310,3073537,3159347,4105869,4982609,4500392,3638575,3914732,4052745,2950129,3868318,3728647,1931422,4887044,2561502,3675041,4087079,2752265,3692946,3846427,2078659,3291610,2819731,6030750,2650729,4882005
2021-11-01T01:45,5072802,3648273,3123286,4153356,3168202,4871298,4475385,3867758,3219214,3179429,3909930,3829408,4001224,2770251,3619087,4831660,3089639,2420428,2795868,2194277,3663327,3163283,4084955,2705229,3307308,3448987,3109356,3424721,5297737,3456159,4300837,2608305,2633965,4557285,3819249
2021-11-01T01:50,3149670,2570980,3471397,3408245,2341887,5402659,3212740,2839069,1623155,3911535,3392433,2029206,5096964,3162068,4475059,4704024,4999963,4662744,3827603,2317920,2126877,3139751,3950246,2531994,5277065,4484641,4802540,4160164,5066834,3784634,4393505,4046960,3310125,3272704,4213527
2021-11-01T01:55,2310073,2571724,3946177,4376340,4357091,4072635,4932015,4466173,3417192,3747482,4239249,2963191,4471318,2858864,4701018,3971952,3058351,4622132,3696201,3757679,3125117,3631228,5967740,3169845,3800250,5254726,4613931,3108084,3654967,3454608,3269393,3137456,3382793,2721062,5082459
2021-11-01T02:00,3140556,3131568,3638143,2703138,4075993,4357964,3543522,5259671,3605434,3889560,3788765,3951508,4003761,2801092,3389136,3610079,4992039,4554126,2663244,3199937,3456041,3474196,4871171,2928399,5387363,5805137,3495426,1652511,3607588,2503471,3528829,3189670,2870735,4139630,3494671
2021-11-01T02:05,4217553,2625346,3066928,3706750,4950030,4248544,3060181,4556722,4469048,3901427,1892625,5281508,4222700,4391902,4067826,3943969,3893829,4102752,4579677,4060356,4473079,2929333,4604991,2575615,3963812,4540692,3859384,3106393,3014291,2911583,5291746,2804343,3499046,3818321,2781607
2021-11-01T02:10,4236396,2377285,3874526,3731051,2525251,2797147,4339637,3895684,2946962,3680215,2971190,3393673,3962216,3347728,3849458,4460661,3686549,3647526,3344895,2930191,3366665,3250990,3179658,2735173,3435432,4731274,3987107,3483173,5656566,3055532,3286797,3410454,4356522,2917955,3823341
2021-11-01T02:15,3184004,2999798,4180412,4827399,3329219,5101522,3327094,5218468,3408605,4678067,5692104,4059147,5436064,4337445,2362774,4100370,4926292,4660727,4783978,3675427,3943050,4507148,4675702,1723036,4418091,4111690,3451424,2687091,3029723,3095279,3353556,3179636,3706077,4432537,2839370
2021-11-01T02:20,2220791,3178793,4700769,3713097,3998650,3015185,2114364,5537088,3777322,3535224,3309766,3632115,2666910,4204412,3736044,3838370,2936283,3487960,3719657,3395252,3034683,3230339,4157389,3060767,4540364,4895615,3487391,4144732,2420864,2538964,3550740,3679059,2963983,3818479,4341425
2021-11-01T02:25,2244167,2755759,3932679,3480614,3402319,3577038,3033666,3805403,3912785,3278418,3341460,4045272,3934086,5479647,4282580,4029566,5160067,2074482,3650096,2902984,4215406,2390388,3288839,3312808,3621066,4565984,4142963,2857049,4995378,3426577,3829803,3320977,3539484,4436752,1720528
2021-11-01T02:30,2376754,2604487,4076826,4000349,4064336,3365465,3668840,2847364,4711770,4694005,1795747,2936227,3398791,4064888,4129319,3391047,4680332,3944917,2688476,3483928,3705529,3042792,3102131,3431376,2705445,3110240,2956382,3183020,3192652,3270605,3451332,3230442,3174007,4641633,3530423
2021-11-01T02:35,2543445,3419961,5123983,4879562,4649390,4635578,3033458,3819985,4756103,4224479,3731681,4295679,4083127,4384709,4020258,3511480,2697470,2649773,2998962,3548445,3623076,3336775,2551975,3435996,4238442,4412292,4928658,2520893,3150290,3269345,4223792,2462071,4020962,4721880,4996152
2021-11-01T02:40,4169560,2878277,3594124,4083198,2926753,3867352,3157592,3764753,3184492,2951158,2759144,3854194,4346813,3739673,3883697,3393843,4932561,3622849,4606158,3243674,1855954,4082397,3653807,3588622,4438927,3705224,4672987,2327157,2588872,3734026,2711030,2328657,4220347,2416106,4131275
2021-11-01T02:45,3369065,2633081,3432877,3816457,3559835,3523508,3508342,3680536,3377374,3755211,3301399,2812729,4280161,5280336,3363212,3446961,3672953,3241631,3640058,3597523,4451292,3166667,4348442,3617510,3007033,5021686,2695513,2440718,3698278,3452560,2963513,3173453,3839352,5102948,3827737
2021-11-01T02:50,3994749,2691205,4533295,4097384,5175280,3399962,2646246,4657800,3534428,3770545,3761412,4396451,5067503,3986591,3057817,3211443,4081827,3630448,3508541,3503877,3157311,2383796,3734451,3385253,5449258,4541165,3195393,3151940,3636155,3800508,3436712,2596787,4712065,2403588,3256200
2021-11-01T02:55,3791731,4563727,2766438,2338938,4286122,3665376,5180728,2883519,2582672,3444343,2258267,3248371,4536803,3013155,2882791,3635882,3108076,2569272,3595149,3026577,2817266,2369912,3441539,1990805,4311424,4375855,2179997,3798373,3967046,4030231,3847103,3944655,4524724,3770398,3675257
2021-11-01T03:00,4147096,3600097,4800752,4170849,5005413,3122915,4029937,4334839,3894387,3724760,2474097,2320898,4906532,4071930,5593472,2747541,4475528,2814581,4389092,3012762,2066279,4146990,3754151,2359191,3837252,3359848,3924824,3692038,4103148,3336282,2810822,3320102,4417582,3346445,3395136
2021-11-01T03:05,2784945,3171318,4664378,3270219,5985558,4548979,3262088,3866698,4176272,3093845,3618534,5339114,3489698,3150973,2905689,3221847,2986679,3402989,2787901,3214887,4109454,2663631,2795996,4123989,4094785,3672414,3148368,4206983,3035631,4036765,3195248,2870512,4008114,3245172,4624192
2021-11-01T03:10,2678992,3134832,3635052,4285591,3583420,2727248,4281647,4845141,2848457,3425637,3349395,5723750,3535220,3754493,2604321,4656354,2080396,4624605,3944831,4560689,2996813,2387669,4400803,4425687,3645156,3293588,3036477,4221239,4510489,3053827,3754335,3527786,3859804,3658952,3076553
2021-11-01T03:15,1767938,3198662,3716955,3968013,3545761,3774107,5004262,3920175,3903908,3674290,2616900,3997442,4614958,3800389,3407702,4527098,3776981,4197698,3168510,3517839,4008270,4084647,3111032,4143403,4794979,3973646,3257324,3509166,2578906,3928700,3915119,2712483,4054174,3354641,2926832
2021-11-01T03:20,3448720,3626488,3587443,3340132,3588421,2793496,2855826,3909572,3567081,4625680,2724309,3504382,4602387,4136085,3910695,3938806,4903968,4817053,2890256,3424774,2204854,3341381,4314242,2178439,2895772,3799807,4237320,2976875,3985828,3365419,3923689,2866412,4571322,5474656,3606221
2021-11-01T03:25,3261557,2612139,3297814,4027933,4214836,2600926,4052045,2937245,3168540,4020961,2550456,4327288,3913408,3605799,3920985,2673013,2742919,2594673,2221159,3765742,3500696,2647708,4616882,3272795,3240389,6288569,2375636,3171779,3500377,3485282,5097145,2939021,2915922,4055833,4310882
2021-11-01T03:30,3223074,2850846,4305362,2695853,4202111,4193569,2774156,3752796,2191137,3324073,3686106,3566515,3576353,3624710,4245835,4733990,1735680,3346157,3730316,2990351,3256667,3459168,3772837,2558917,3848815,4020613,2656539,2992069,3449338,3829910,4044853,3780580,3712534,4019545,4281034
2021-11-01T03:35,3065374,3378580,3970833,2574017,3058704,4120641,2225339,3969807,3322642,3898487,3872856,3443455,4952307,4354357,5174564,2654650,2409330,3755621,3057212,4089617,3565395,3631557,3864900,3650226,3944100,5610806,2945078,3275893,4963090,1701170,3844870,4191370,4551427,2692591,3447567
2021-11-01T03:40,1891185,3368248,3393372,2333530,2943684,2944364,4561414,3641651,3352545,3092382,2815728,2434858,3901294,4363522,2531368,4024171,3635989,3047293,4532792,2505455,4143426,2087943,4266730,2020366,3464598,3633300,3735863,3972083,3629572,3623029,3859984,2588991,3360427,4653213,3299307
2021-11-01T03:45,3939159,3183596,3456409,4631426,3712628,3844286,3413261,3507010,3013013,2874088,5195929,5246338,3801153,1903086,3604595,3511280,3680575,2572190,3455856,2854512,3504986,4394437,3279249,2989178,2432430,5164049,4531536,3667672,3903948,4060862,4501717,3487434,3898042,3006148,4100605
2021-11-01T03:50,2153640,3523121,4380548,2911162,4100825,4843453,3585637,2792554,4345464,3554404,3878856,2987506,2819734,3512721,2931047,4199045,3906940,3725384,3660791,3820841,3739548,4556116,3345728,2203751,4630386,3781581,3569404,2350933,3388257,3735094,4029375,4218540,3669369,3315425,3411077
2021-11-01T03:55,3885510,3296754,4806855,2877181,4616562,3065526,3797284,3076885,3756327,4212275,2473614,3277929,4567241,3430191,4635543,3892257,2657394,3060921,3750011,3897770,2397588,3242505,2963141,2583927,2999189,4649224,3284963,3021687,3122899,5211151,4915594,2292428,3915267,3290532,3595580
2021-11-01T04:00,2784275,2585882,3988695,3907709,4109629,3782272,3120470,3665478,4603324,2659119,3120452,4374330,3530219,4385918,4462404,3588434,4176201,2929313,2628316,2621924,2681678,3046106,5028168,3412580,4826341,4976069,2709635,1521432,3148543,2988513,4396934,4914879,4079159,3392886,3104211
2021-11-01T04:05,4178146,3067241,3961805,3270864,4212321,3517845,2157043,4323594,4265990,3510348,3075257,2089845,5066397,3957058,3672060,3942475,3871676,3341068,4023523,3435421,2858921,2782739,4310077,3481642,4294006,5050129,4042947,2000237,3550281,3310264,3507936,3407843,2697510,3789960,4387625
2021-11-01T04:10,3797712,4212495,2782786,2910813,2970053,3198640,3650226,3800030,2561058,2967258,2694286,4756248,3294072,4290237,2579612,3013594,4633714,3765612,1981654,3190263,3917577,3125272,4414450,4655568,4229639,4385098,2224897,3114556,4444765,3419777,3763854,4386509,2927438,3538656,4282428
2021-11-01T04:15,3540873,2822876,3997253,2966739,5516905,3686408,3336651,2937242,2884923,3031278,2588288,4599388,3739728,3226972,4493241,3797809,4720632,3680116,5110201,3585271,4264813,3384910,3312439,2540884,3492986,3236065,1919194,3318400,3130518,4282091,3335920,1742027,4897141,5362294,3999226
2021-11-01T04:20,1625653,3094648,3169184,4523922,3262985,3647165,3402435,4950675,2596265,4091390,2705824,3300191,5190313,2918245,4667845,2829897,3458579,4979165,2703661,2928930,3155126,4218156,3212716,4068582,4355424,3826211,3663469,3512667,3820138,3628502,3970718,3368536,4355694,3419953,4477934
2021-11-01T04:25,3115885,2385953,3933289,4413652,3708073,3577830,3807171,3232904,3210148,3122051,4017660,3911606,2529879,4918295,3261026,3946226,3438236,4352440,3609449,4162120,4014835,2837846,3734508,3629486,4617454,4493056,2312577,2564010,3326721,4013679,4454661,2911083,4252290,3737515,4960056
2021-11-01T04:30,3553514,2763577,2494000,3761653,3567592,3908229,4014511,3425711,3853240,3758265,2945641,3443046,3480662,4472660,4128708,3506073,4068204,2968792,4145162,3641072,4815746,3078234,3429238,3430864,5412731,3563481,3552999,3117019,3020096,3520655,4788297,3172210,4567924,5685346,2054309
2021-11-01T04:35,2970626,3005612,4491267,3431438,3667658,3549490,2711876,4509892,3968641,3468820,2529864,3762289,2985811,3985834,3942968,2808088,3611919,3333822,3537894,2585999,3851292,3097410,3943986,4707854,3655876,5276281,3744205,4037684,3643188,3324063,3661494,3602122,4256699,5325093,3829100
2021-11-01T04:40,2864953,2655627,4564033,4255957,2645867,3717756,3797882,4213983,2594179,2801294,2210751,2858373,5084878,3600579,3313397,4383111,3909458,3644318,3668442,3327093,3853568,2700112,3730896,4626424,3756385,5523850,3414832,2832419,4085990,2349214,4219419,3234433,3663602,2911409,2605239
2021-11-01T04:45,3928523,2995176,4363151,3538355,3426893,2672166,3277569,4684651,4302765,2755260,3500642,4720676,4606191,2484318,3614456,5254451,3466340,2538931,3406271,2186204,3581525,3386394,4077350,4249997,4239204,4254169,2460647,2393373,3321427,3317842,3295033,4397805,3275688,2902685,4551260
2021-11-01T04:50,3367379,3593110,4958489,3180374,3992955,4304262,3916609,3291037,3492167,2711427,4152367,4456094,4112755,2086915,4342813,3754808,5013587,3793638,3596890,3495636,4030120,2415416,4714607,3808759,3203388,4052975,2978475,3982380,3037680,1973504,3999085,4268802,4654699,2784167,3794539
2021-11-01T04:55,3846730,3456656,3530133,3663106,3096166,3589588,4062721,3852130,2053107,2970151,4119537,4885544,3384234,3643681,4915522,3659869,3794652,3736890,4196687,3190347,4102381,3072481,3126806,2308419,4271660,4755871,3423139,3481026,3417832,3926674,2463628,3541916,3423436,3023204,3122835
2021-11-01T05:00,2221834,2561872,4796613,3166824,4351987,3160582,4272025,4018688,3580671,5505976,3816999,4449413,2784507,2314516,2750883,4997012,3130982,2356596,3910179,2732413,3763738,3078270,2720237,3405671,3696238,4538384,2785830,2847324,3605112,3258446,3854371,3045651,4117741,4719037,3352918
2021-11-01T05:05,2540180,2704955,4589851,3206111,5270463,2785064,3130778,4845340,3549798,3576213,2193732,3505439,4217401,2377687,5154330,3421636,3829552,3890929,3978980,2253810,5003106,2561763,3880136,4655854,3499222,4113171,3288567,3866742,4169938,4645070,3229776,3063721,5106400,4468660,3677426
2021-11-01T05:10,2063895,3229985,2919770,3292710,3840372,2491730,4785155,3642199,3143345,3324156,3750999,2329505,5968475,4204037,4357213,3095082,3653395,3071420,3638997,4584466,3268689,3661825,2577848,2384111,3306167,5406383,3674090,2842251,3850078,3540864,3492456,3805956,3084311,4954028,5286692
2021-11-01T05:15,3336222,3028483,3383431,2518461,3944845,3241004,3644891,3872016,3590897,3141680,3324969,3808894,4126368,3743105,4382655,2131058,3433777,3212289,4476364,3455650,3136947,1921511,3236606,3569963,4058578,4305622,2820170,3046813,3193725,3581316,4175149,3752053,2988208,4418972,3435300
2021-11-01T05:20,2999991,3482993,4475635,4074454,5254720,3939074,2125803,4373602,3685360,2967150,2073245,3118491,3573889,3875003,3582448,4299998,4621434,3443617,2509755,3034778,3982017,3742355,4425562,3611668,4097210,4344790,3976696,3182419,2754171,3332068,3448400,3059694,4142974,3344004,4744370
2021-11-01T05:25,3754685,3835451,3604878,4343476,4316509,4221785,4831320,4235996,4460213,3067282,3087298,2830389,2078017,3433661,4653820,2652676,4099968,3542985,3973080,2604760,2224822,3223689,2960054,3005286,4528237,4566033,2422438,2961327,3155901,3871228,4046405,2602194,2817885,4167257,3471790
2021-11-01T05:30,2448410,2957803,4100521,4122342,4789201,3957089,3039093,3230876,2904865,5016115,3208978,4819432,3560339,3520997,2843733,5442412,5229684,3268386,4498648,4349564,3718013,3186597,3626870,3082944,5256375,3604354,3752248,3272306,2832922,3751226,2929875,3383249,3623627,4995264,4661440
2021-11-01T05:35,2591920,2166661,2381157,3710938,3805398,3420225,3160360,2833432,2308727,4679599,3893017,2497596,3622223,3903767,3279942,3106517,3636362,4928584,3782157,3440277,2794280,2484230,3158216,3741901,3300247,3373081,2556503,3638351,4711670,2334089,3580032,2964349,3720291,5593770,3047171
2021-11-01T05:40,3545824,2962916,4683073,3418064,3228953,4099714,3604803,4767318,2776768,3327933,3616033,2347727,5562910,3620498,3736559,2894080,3509693,3231701,2689973,4127483,4363238,3124572,4137731,2491326,6410635,3700723,2783067,3557793,4295971,3414507,3406784,3657730,4496683,2925645,2330263
2021-11-01T05:45,3220748,4050331,3430460,4309196,4344089,4389311,3466265,4433558,4014900,3605995,3012181,3669324,4303894,3315480,3926427,3739656,2939628,3848287,2757450,4136318,3531402,1869474,3763785,4250979,3113128,4716415,3096114,3000260,4251385,3389424,4715300,2942722,3352908,3820534,4131766
2021-11-01T05:50,2391551,3230879,3502059,3981261,3313434,4086355,4033501,3751927,3083552,4332435,3349666,4315074,5185889,5436891,3834104,3144734,3228446,4272670,4536059,3552591,3280715,2978723,4728774,3532672,4975987,3898232,3270238,2259573,2558757,3793587,3312550,2493269,3133019,4525488,3340689
2021-11-01T05:55,4504729,2362649,3343980,4270591,4143783,3189748,2686892,4255010,3081902,3643352,3508333,3176238,3442581,3259846,2477330,3088317,2965702,3088830,2531295,3114896,3601397,4132867,3551147,2638319,4102231,5047910,3690688,3796776,4958047,3939683,4243015,3347242,4716614,3722208,2764801
2021-11-01T06:00,3619015,3089400,2924105,3902076,3164641,3552702,2527604,4455849,3303640,3255770,3972353,4593611,4060435,3756941,4514079,2742494,3185557,2882396,3791412,4307693,5495418,2647019,3786170,4650783,4463638,3635304,3339812,2944363,3131171,3942664,4059463,2136411,4246936,4536229,3005911
2021-11-01T06:05,4184655,3747075,4942940,3536182,2301978,3293847,3607313,3770681,3601485,4439045,2575780,3760934,4198093,2577388,2769465,5136899,5401134,3889889,3705066,4790484,4672089,2267518,4212871,1860023,4710398,4572819,4041477,2455202,3731405,3424924,3400579,3208557,4811842,3521167,3980698
2021-11-01T06:10,2948045,3169695,4555906,2724300,3632129,3938293,3789181,3066890,2981451,4059194,3538497,3827086,3655957,3798537,2729785,3913232,5042011,3026229,4917099,3441235,3212833,4034974,3217918,3088879,2617881,3746197,2461027,3672641,4041998,3250953,4842402,2842649,3411254,3785592,3694954
2021-11-01T06:15,2959836,2365644,3677424,3905335,4503825,3083908,4455140,4020649,2716659,2994851,3512501,3286188,4026600,5055053,2485589,2753032,4410085,3045125,3511209,4089759,3071385,2340125,5364040,2923554,4033478,4625345,3734685,3761181,4184095,2803403,4515515,2220845,4291963,4077926,4904521
2021-11-01T06:20,2012774,2610905,3755246,3544905,3886206,3691453,3089009,3187098,2395797,3953422,2335829,3376101,2628376,2637044,4409021,3828245,3277860,3521938,3887563,3626232,4250075,2778852,3178352,2934796,5564908,5684388,3308322,3081007,3086273,3171926,2727682,3635489,5218514,3846330,3744314
2021-11-01T06:25,2698760,2683403,3441014,4106248,3538645,3287829,3004167,4728236,3346722,3847679,4877804,2876579,3973437,3365197,2632413,3293627,4939380,3252534,4029920,2918702,4076069,2926924,2871965,2555377,3309301,3960336,3371906,3983505,3512265,2902743,5205480,3447834,3446505,4642548,2769479
2021-11-01T06:30,3901924,2963237,3010415,4177798,2966445,3036719,4506451,3200527,3573421,4069632,3132673,3098955,4236897,4376688,3712008,2905339,3025827,3009626,3497725,2626695,3258000,3810859,3924390,2882018,3747082,3768016,2457599,3838263,3562676,4219785,3983321,3348831,3526363,4186257,3709368
2021-11-01T06:35,2013979,2622915,4404422,3251552,3606389,3923944,4129862,4141392,2812747,4223223,2805905,4679400,4615543,3767519,3863650,3213989,4048662,2966703,3450195,3582607,3970266,2525678,3602197,3362689,4783069,5113997,3187098,2831325,3121687,4303251,3181770,3022475,3515964,4804555,3698244
2021-11-01T06:40,3693132,2332852,4564614,3770799,3280735,2769884,4229020,2773583,2194449,4344913,3799100,4332415,4609501,3630560,3149291,3935382,4996070,4089120,3422265,3648625,3754071,4585802,3630137,4566154,3121913,5916875,3008518,3098887,4802455,4102738,3906946,2664773,5078144,2839482,3806569
2021-11-01T06:45,3473793,3643901,3231116,3048271,5735504,4649321,3624895,2953149,3467263,3385528,2254818,3207740,3853381,3640231,3213513,4198805,3682692,3717005,3816986,4224519,4627981,4080644,2903994,1949020,4841236,4958930,1611008,3469751,2394573,4048676,3373196,3621898,5144060,3537316,3521747
2021-11-01T06:50,3025468,2830160,4093814,3589540,2396079,4960343,5387577,3670006,3071871,3768908,3658574,4418438,4221909,3997346,3592388,4103606,3708190,4693276,3176340,3007516,2881175,3536652,3106553,3696205,5350851,3703809,3549689,2412636,4404708,3340556,5255222,3374485,4204999,4492367,2753991
2021-11-01T06:55,2767407,2186455,3532375,3791219,3660538,4275258,4667451,3138657,3702530,4211656,2967891,4270023,4214537,3356948,4074833,2799307,4577179,3562651,3177627,3724563,2886432,2475005,4717020,3103238,3551628,5326705,2405338,2026977,4060724,3276384,3061136,3183456,3188533,5217738,3551048
2021-11-01T07:00,4030978,2765570,3766872,5091093,2482741,4124533,5611906,3072409,3438242,4089339,2985489,4220776,3601647,3000713,2792118,3356038,3549078,3456902,2619806,2567029,3810127,2688479,3815713,4638040,5709132,4362031,3200972,3669906,3617546,2570910,5508472,3832458,2724283,5107238,3787718
2021-11-01T07:05,3941520,2149719,5456240,2569406,4827246,3050834,3154729,3883624,3176514,3951576,2557174,4945116,2802303,3657860,2967085,3928476,4042273,3867137,3018428,3878839,2868075,2403148,2954823,2910399,4081396,3376718,4351337,3835172,2787692,3689089,2986223,3705542,4199029,3646322,5105501
2021-11-01T07:10,3873269,2525606,2274848,1554628,4698609,4159464,3720337,3648551,3091361,3501507,2794521,3047524,3553031,4305823,3951659,3367733,5122713,3015769,2911845,3130166,4508260,2346008,5119248,5560694,3410088,5704842,3711283,3182400,3721185,3938977,3969172,3007805,2913145,3985505,3139237
2021-11-01T07:15,2892613,2952230,2791902,4467302,4284040,4859290,4162999,3938280,3875270,4336405,2506814,3217657,3554244,2441303,3115366,2945575,3859574,3668149,3810834,2720751,3135147,3881338,2903045,3740318,4130837,4019485,2373149,2990114,2718356,4070996,4192842,3064215,3712365,3796371,3924823
2021-11-01T07:20,3084441,2511279,2799234,2296167,4263895,3982040,3310015,3201036,4186087,2721076,4796186,4412105,4007879,3855329,3807759,2305783,3866515,2640817,3921509,5056529,3822110,2470635,3456543,4061574,3676204,4515166,3015299,2623911,4116435,2989135,4291115,2971795,3247503,2244694,3769344
2021-11-01T07:25,3408065,4461454,3595695,4650393,3316928,3327303,3276152,4089156,3519228,2790005,3582355,3493078,2923004,3342090,2514548,2831941,3416886,2656963,4063754,4036189,3103567,3383414,4579014,2934675,3094301,4584523,3660423,2969584,3312920,2798146,4883757,2635940,4180637,2988973,3714215
2021-11-01T07:30,3259063,2212498,2704482,5254256,4205134,2316522,3532060,4065136,2017513,4816754,3362409,2170074,4320651,2525851,2591255,3131418,3403074,3550602,3603057,3719411,4846300,3264972,3304192,2811501,3863394,3486070,2398872,2630123,3737804,3605644,4625112,3142739,4612283,4656822,4525721
