mtime,AB,AL,AR,BF,BO,BV,CH,CO,CZ,DI,DL,DM,DO,DS,EF,EH,GS,H,HI,HP,HS,HT,HW,HZ,IU,JR,K,LO,NS,NU,OV,P,U,VW,XY
2021-11-01T01:50,2187584,3688223,2243722,4472771,3749080,2477750,2811349,4055086,2957535,3719311,3966980,1450317,3573942,2367502,4882170,3131958,2605070,5870697,4387913,2994734,3869594,2263727,3834543,2754332,3108765,4435979,4457068,3796872,3243818,4729015,4006957,4623242,3242176,2917347,5122110
2021-11-01T01:55,2908217,2796476,4257299,3098932,4821983,3333366,4095542,3980495,3614754,2494773,3747371,3749529,2583927,4347192,2702360,4243102,4521115,3959784,4148127,3300742,4836488,4327169,3040878,4932802,5165592,3564650,4135117,2571496,3062448,4731524,3507769,2715104,3378876,3495946,3434986
2021-11-01T02:00,2744873,3518846,3274366,3560733,2277616,3053150,3296427,4585057,2100147,4426366,3667485,3878695,3882537,2800310,4126337,3630961,4668980,4173139,2549490,3898153,4952866,4082416,3979291,4495901,3581930,5499622,3472352,3922906,6046480,4581287,4152863,3599945,4304100,3760662,2645581
2021-11-01T02:05,2861920,5061695,3495082,3626702,4157312,2391106,3327350,3137415,2945303,2830745,3441839,3016404,2485104,3574986,3846629,3952647,3359487,3669758,3658994,3893498,3972095,3396181,3515807,4071613,4460488,4077656,4199925,3794039,2748643,4499023,4076577,3215081,4489604,3699636,4128041
2021-11-01T02:10,3686628,3984146,2671845,4244433,3920037,3672578,2163946,3408643,3328211,4378633,4214588,3420238,2762481,5096022,2512064,3354397,3299318,4347467,4172043,3592692,3470147,2000662,3637973,2192724,3772237,3495105,3560764,3715285,4287731,5700044,3326904,4330889,5737143,4245417,4060393
2021-11-01T02:15,2666841,3169104,3698199,3231196,3174769,2776982,2418944,4652037,4300100,5148923,3380744,2760832,3484465,3532000,4267331,3396042,5114822,2489992,3101134,4844859,4476432,4529571,2738500,2411430,2809894,4689593,3964565,2858883,3245450,3920222,2068031,4094918,4116293,2967350,3517972
2021-11-01T02:20,4230212,2118476,3565545,2936108,3302043,3226011,4438470,4867590,3477970,3371641,4359509,3320608,3016855,4322699,3279561,3060419,4020628,4288413,3963320,3628826,5670106,2202808,4369377,3164459,4126092,3363971,3223420,4505308,4026697,5896431,5663727,4198774,4664593,3396054,3926957
2021-11-01T02:25,2938342,3311959,5472533,2357307,3422948,3196477,3368107,2936230,3604170,4073124,5083990,2838481,2943866,3742030,3938844,3903125,3902320,4157747,3138075,2948882,4694234,3481892,3367866,5009465,2463298,3773280,3706014,2721794,4875006,4132383,4798873,3035779,3441892,4032337,2189761
2021-11-01T02:30,3125898,3966609,4904911,3079936,3525554,3789919,2279882,3270932,3045879,4128061,4425992,3284624,3427215,3770086,3329709,3543813,4502888,4506446,3839669,4418742,4632692,3184216,3879892,3872931,3731383,3744672,4915579,3859659,3046607,2833609,3791976,3149256,4283521,3684753,4001036
2021-11-01T02:35,2744933,4131428,4243929,3940201,3522080,2909877,2561827,3677017,4154799,4319059,4646696,2953744,3950527,5822090,3554034,2307165,3437617,3516672,2890177,4089475,3798654,4428165,4982189,3468854,4298983,3778186,4019623,3952617,4371743,4732974,3508569,3022161,3284545,2953058,2808978
2021-11-01T02:40,2928447,3746434,3400462,3864319,2888447,4497617,4346572,4216942,3201181,3544762,4742853,3768153,2645371,3677848,3672747,3598039,3849431,2792690,4955388,4121788,4726487,3839530,3173112,3012309,3043941,5661633,3904156,3725629,3196808,3963557,4850770,3628657,3793930,5271530,3472848
2021-11-01T02:45,2619979,4579867,3358015,4290583,2944723,2435984,3121660,5223903,4701870,4629469,4770623,2768346,3020725,4345416,3378741,4943988,3535802,3886176,2670729,5141804,2792309,2863557,3779480,3797615,2208695,3972100,3756408,2272383,4451026,2155514,4356987,5104796,4942300,3711034,3446377
2021-11-01T02:50,3032394,4374933,3898613,2106501,2994785,3195873,4347233,4522601,2769206,3120931,3546176,3830776,3103531,4080884,1911358,2538901,4413696,4235643,4734590,3364435,5087583,3756528,4447806,3690857,4684104,5054305,2387937,3464931,4555227,3176266,3510812,4818701,3639505,2757821,3886189
2021-11-01T02:55,3455010,2365858,4199898,3142305,3358745,2852487,3251319,1737697,3444554,3209326,4971478,3175718,3085992,4491063,3313409,3822899,3238290,2573419,3276171,4167777,3743823,4873490,3338230,2637148,3846568,3965683,3476348,3927998,2938443,4109058,3440601,3860433,4617151,4410821,2383249
2021-11-01T03:00,2960874,1985153,4429918,3651917,3966876,3856299,3010484,2937165,3259752,4714900,4505519,3598554,2978577,3165862,3755467,3109280,4259974,4187630,2936996,3073909,3818042,2821022,3923854,5208681,3628164,4631859,3907298,4037565,4325211,4062144,3884573,2681440,3252353,4405967,3131850
2021-11-01T03:05,4259332,3519794,2204094,4023486,3003354,2281971,3901762,2733967,3563143,4385467,4969830,3328470,1508779,3681086,4041265,3352949,4400421,3982501,2457272,3849724,4334723,2929617,4532909,3136311,2843422,3397308,4239046,3537193,5517714,3229706,4011498,3943050,2662609,2891909,3491429
2021-11-01T03:10,3503906,3853371,5125366,4010952,4236110,3892079,3411447,5158470,4473202,4563753,3693098,2408135,3664286,3237686,3220373,3971230,3973950,4507924,3413757,3109860,3963726,4610001,4461534,3956123,3002322,3660463,3417224,2854062,5716262,3926572,3394671,3131022,3638579,3234102,3242692
2021-11-01T03:15,2918194,3781398,3256126,3891645,4651637,3313736,3978362,5422137,5197636,4582275,3408806,2747824,3588845,5757363,3795655,4347627,4516942,4267472,3808935,5458581,3990631,3022421,3447201,3518748,2674570,3701319,4319389,4169854,3009464,4272612,2653271,2539442,3734308,2262631,4180757
2021-11-01T03:20,3458538,4716228,5061836,2957812,4262906,2562194,3313740,3248439,3046947,4451741,3582375,3081323,2412897,3670386,3753815,2941966,3922403,3914208,4376312,2533495,4024384,3856409,2824468,4865119,3382284,4292735,4277310,3944476,3362598,4155351,2036989,3879930,3032460,3898391,2150438
2021-11-01T03:25,4312211,3972857,4036091,2767870,3156919,2154943,4072376,6161422,4564331,4526565,3471868,2945937,2887769,4177608,3281080,3216394,3006407,3702157,3213667,4901957,3449759,5234754,3567404,4598585,3036610,3499224,4223138,4141088,3730051,4141833,3047572,4355295,4500998,2932295,3270554
2021-11-01T03:30,3869752,2854544,4145215,3376919,3240403,3687799,3288358,3550360,3189603,3535478,2805974,4014609,3332309,5268697,4728078,4513719,4659847,3111088,4094358,4299658,4419348,3517955,3480096,3683944,4245233,4965748,4239861,3653703,3444742,3372978,3580414,3835563,4883284,3265902,3187856
2021-11-01T03:35,3421369,3725263,3938703,4543999,2864011,3093370,2579340,4438175,4168009,3189118,3892094,3244273,3616576,4062568,3979418,3523764,4238191,3600970,4007192,5414612,3498140,3080135,3872590,3709496,3423801,3729937,3783001,4218096,3237314,3354959,3777507,3897242,4519626,3018194,3361607
2021-11-01T03:40,3048564,3721206,4215968,4170537,3851763,3263948,3299345,4573731,4096475,5087404,3788182,3254711,2493403,5048604,3621050,4436121,3819283,3765202,3509956,4867134,4840540,2957022,4221786,3816219,3284382,4143387,3914498,4306195,4331136,4133486,3901438,2895181,4532056,3229606,3178678
2021-11-01T03:45,4122436,4276286,1784220,3797136,5528213,3147729,2246080,4858969,2504814,5428118,3417434,4553278,3617368,3823212,4712288,4584963,2981221,3835381,4650411,4933115,4666759,2759943,3322041,3492217,4223981,2925624,5054530,3766206,4483770,3421542,3558153,3420220,5493028,4053170,3849187
2021-11-01T03:50,3445821,3336566,3714002,3052187,3488724,2292533,4287319,3182555,3196062,6034879,3314369,3236873,2312862,4059900,2738426,2562854,4860900,3816825,2635881,5528238,4972143,4435284,3012787,4473738,2547291,3937473,5242057,1615290,4792964,4061865,3696251,3384991,3840902,2293776,4760212
2021-11-01T03:55,2779626,3451002,4182092,3674890,5001567,2840317,3204896,4638790,3676053,4657075,4178062,2985998,1489572,4504081,3389178,2693238,3427894,1764097,2473027,2462002,5150569,3552718,4177694,4229693,4659734,3954605,3857081,4013942,4317577,4470914,3305187,3268408,5545662,2508678,4356346
2021-11-01T04:00,4080889,2648972,4267200,4346048,4313180,3176016,4802731,4356129,3163631,3421764,5743055,4738002,3486174,3017232,4913094,3044144,5168595,4388452,3311705,3872967,4011170,5376154,4016374,4653777,2612569,4221980,4311792,4104487,2629292,4487817,3420220,3990960,3530644,2765457,3334440
2021-11-01T04:05,2939411,3572547,3194933,3044869,3539842,2334119,2244369,2927103,3024085,3233634,2767883,4345416,3100757,2627541,3063920,3500615,3207776,2040153,3652997,4975078,3762648,3228554,5327687,2689383,3590281,4890093,5686290,2719097,4303089,5360778,4471104,3854526,5233382,3877817,3588187
2021-11-01T04:10,2424633,3751947,3913234,2923877,2780039,2848006,4261218,4951737,3347654,3879115,4533458,3709398,2535897,3988765,3662323,3414504,3063847,2594581,4616399,4567246,3948480,3159457,3167869,3675745,4323962,4209288,4094811,1636649,3224414,4848726,3229675,3338220,4222187,2823170,4181541
2021-11-01T04:15,3690631,3972449,3137173,3072337,2760924,3449291,3593293,5030685,2612153,4034080,3140189,3338895,3960795,2920877,4438998,3668797,4093207,4001749,3351818,3956007,4672330,3916059,2960572,3840989,3210098,3253155,4040277,3864255,5089546,3549130,5712260,5033580,2341100,3331301,3647666
2021-11-01T04:20,2642160,3790748,3803662,3066410,4069859,2811239,3829073,4477895,3391831,4843252,3957590,3998483,2573966,4098811,4302252,3436411,3367802,3873946,3232239,3762839,4699861,4516755,4360965,3173425,2853805,3138131,4644161,3009722,4579578,3248260,3838316,4119797,3511146,4378954,3504663
2021-11-01T04:25,3554674,4006368,2682276,3581113,3303243,2889542,4233013,4637331,4542786,4159112,3514987,3386453,2390196,5267848,4667875,2557684,5687770,5511068,2912592,2665743,3591634,3475133,2517858,2674030,3726867,4101042,4242692,4324241,4313666,3834427,3833470,3906250,2943349,3693754,3445081
2021-11-01T04:30,3977849,3035666,4224541,3243479,3129182,2285414,2847531,2609834,2885280,4270713,3309276,3196740,2336706,4441904,3830006,2387552,3297900,3627034,2813234,2707169,4466148,3015762,3084833,4434204,3523185,3513364,3815509,3804617,3396793,4905186,3730565,2530034,3199821,3861620,4183227
2021-11-01T04:35,3626726,3469859,2957169,4162605,4171971,4612393,2691251,3759140,3577912,2968348,4845432,3045713,3083510,4988311,3970430,3599555,2890518,2922024,3512267,4068774,4184710,3854490,3678708,4099546,2855217,3285202,4553590,4270736,4318964,3880106,3365733,3358411,4835931,2958521,3465551
2021-11-01T04:40,2926169,3373067,4029529,5208994,3791859,2583510,4697167,5738498,4074997,3315172,4231192,2563139,3555617,3530911,3768402,2905073,3989908,5510386,3497952,5307835,3156606,3321347,4854595,3713439,4003307,4992863,4371513,3754933,3981075,5079686,2915502,3496887,4722149,3297065,2867767
2021-11-01T04:45,2748269,4113358,4417546,3793256,3242221,2674815,2282824,5209635,3152941,4106316,2615653,4250291,2524541,3762115,2988575,3504048,3486442,3833743,1746533,3664108,3652618,2847493,4347547,3961107,4009883,3626431,4899715,4169446,3060417,3576193,4916394,3500252,3889143,4317696,3389899
2021-11-01T04:50,2489559,3466380,3361079,3492888,3332927,3006669,3807695,4857386,3382937,3813955,3536866,3156334,2089632,3372407,3511690,3172926,3713863,4666383,2762809,3320435,5602395,2449571,3673615,3985859,3632060,3077219,3953021,4202323,4213199,3416901,4125087,4504780,3674930,2921933,3018741
2021-11-01T04:55,3428498,3624153,3528865,3860422,3820722,3856519,4476872,4026903,2784496,4091517,4689593,1955863,3532357,4505609,3969366,3208948,3383555,3417090,3900215,4184783,4446854,3899357,3374368,4105205,3180102,3131495,4655090,4440728,1938398,2804549,3090819,3863899,2556807,4474238,3292089
2021-11-01T05:00,3261221,4209757,3728539,2689003,3501335,3432104,5092645,5042094,3451346,3873037,4013285,3049887,2286491,3174289,4261925,4397701,5845760,2904492,2812921,3746814,3898276,1872079,3964659,3805429,3558441,4159271,4177299,3181768,4632230,3178864,3411628,3461321,2729219,3618430,3701952
2021-11-01T05:05,3647999,4673552,4239547,4309500,3666778,3007614,2667502,4301082,2382371,4624299,3627290,2462400,2841522,4808810,4395081,3587660,4940641,2761124,3504941,3702223,3952102,2669033,3741594,4388058,4356571,4677983,5477533,3534722,3874649,3369289,3609956,3042889,4325783,3862116,4886607
2021-11-01T05:10,3593345,4553192,3829446,2823953,4606576,3541125,3983222,4318425,2002158,4516859,3355768,3091895,4985117,4757585,2178512,3354873,3808810,3616855,3507828,4275220,3056926,3621025,2532624,2737609,4330702,2996721,4459531,4124383,3585445,3217905,5135085,3253134,4730153,3965014,3995118
2021-11-01T05:15,2167536,3867756,2550470,3719878,2488211,2896688,3212845,3916453,3989371,4950768,4265827,3751686,1696046,4395454,4550491,3554635,4201456,4418129,3181043,4011538,4797929,3922022,3334251,5146372,3758860,3950010,4662996,4686515,3821831,4854849,4798939,4549647,5394407,3403502,3928779
2021-11-01T05:20,3370500,3615037,3843332,2973807,2832311,2886789,3118430,6127807,3940329,5307743,4583104,3007307,2127643,3083520,3431457,2012123,4264663,3201517,3523092,3602574,4095323,2641055,2191628,3503799,3840681,5054562,2217976,3915965,4377513,3457591,2909862,4335936,5235199,2750529,4355309
2021-11-01T05:25,4346172,3627291,4727020,3248351,3824051,2968567,3485476,2661077,4051905,3252882,3424883,3272701,3717342,3848882,2609912,4311425,2803792,3487302,2032858,3950567,3207611,5226513,3284971,3652916,3594054,4110214,2859429,3332658,5373963,4491810,3351610,4304135,4019941,3847985,3557830
2021-11-01T05:30,2966090,4619747,4399578,3178896,2835513,3743970,4069029,4171215,3358470,3798788,3549598,3704890,2938547,3849437,4228283,3597595,3006583,3344558,2539920,4349520,4419142,3407671,2943234,3980304,4004475,3701373,3968306,4664735,6015160,4594572,2532926,5968350,3783757,5257319,2308097
2021-11-01T05:35,2338743,4000024,2863858,4426893,3784286,2909404,3227025,3992260,2294845,5104404,3586730,4011777,2840289,4981698,3560668,3363152,2875024,4373539,3515723,3781179,4641595,4518285,4645504,4163515,2425940,4191139,4512530,3200333,3680570,3491428,4067334,4571634,5426779,2822572,4317562
2021-11-01T05:40,3421480,2973528,2476040,2391187,2092244,2597938,4107170,4512384,3132220,4588216,3014261,2360327,2366759,3383633,4915710,2640438,3727728,3294481,5009678,4858597,4104132,3462884,5152104,3161673,4375835,4591925,2816593,2815380,4472108,4726322,4423437,3256902,4538127,4917397,2534731
2021-11-01T05:45,3806816,3867575,4550820,4652743,3683292,2705040,4098675,4648515,3667205,3970173,3988729,2996053,2926284,2977245,4175571,3544587,3519793,3351053,3328960,4138360,2321065,4867028,3330416,3180986,4005334,4908832,6970215,3801754,4330314,2505103,3810102,3405423,5876125,2331113,3705501
2021-11-01T05:50,3419960,4878396,4731361,4225828,4419498,2818410,3297157,3081143,4746660,2753864,3525536,4454876,2961531,3969869,3399071,3873956,2897144,3500144,3648064,3068090,3567932,4289798,4844520,3130287,3967399,3311644,2928950,3354343,2983265,4949034,4896302,3131785,6010453,3423793,3356808
2021-11-01T05:55,2559805,3774302,3970927,2584174,3521986,2811697,2892327,4175215,2492227,4078288,5544998,3894052,2612628,4565319,2926023,3626131,5369953,3131454,3698461,3067967,4707867,3719338,4054312,2196725,4314128,4053797,4109671,3629749,3810675,4452759,2901796,3163262,2635299,3580514,3791990
2021-11-01T06:00,3341978,3756500,4632010,4388601,3823749,1874939,3442888,4085251,2834304,4357860,2946997,2627279,3262219,2193260,4011507,2762835,3853072,4178092,3327584,4906910,4752713,2691692,3282262,4154001,3873406,3507651,3299463,3327580,5484429,5607367,4045306,3352988,3568989,4220547,4713131
2021-11-01T06:05,4692964,4013235,4635493,3765782,4595474,2526242,2726042,4438158,4058556,4257059,4517897,3955605,2167380,4233052,3633886,4197567,5715234,3156129,3488734,4386796,2581238,3591650,2341210,3644267,3473727,4276337,5005882,3728245,3731190,5438889,4873936,3231697,5607093,2982033,3932017
2021-11-01T06:10,2745994,3507742,4079235,3278767,3383075,2667237,2393834,4844536,2403788,6355949,3289621,3552074,1780316,2669323,3654852,3719667,3450585,3578437,3711849,2388566,5828572,3453389,5200729,2941699,2672007,3507115,3409140,3590633,3366554,4946786,3136725,5980426,3578627,2996365,2819135
2021-11-01T06:15,3304026,3933185,5078973,2960227,3301954,2924477,3375043,4343164,1976570,3265847,3538970,4515392,1829127,4095652,3565483,3661564,3041053,3219342,3262473,2776610,3161799,3741385,3083120,4033306,3183710,4778619,4154414,2790356,4880949,4211357,4299600,3739571,3469488,3048515,3886269
2021-11-01T06:20,2413127,4307962,3251522,3372234,4178663,1827758,4116499,3416882,4329244,2417746,3615619,3487482,3292267,4589880,3550981,2540776,4533028,4703189,2953835,3956720,3940460,4984550,4683140,3955675,3670460,4478262,3634878,3644330,3632665,4717351,4275064,4640869,3351152,2727423,3724674
2021-11-01T06:25,3678816,3516395,3450952,4243767,3497643,2885550,4257425,4290811,3881836,4550900,3369200,2517362,3826107,5515162,3058540,3625203,3214118,5521543,3792313,3617151,5548075,2331641,4253653,3879005,3360370,3983538,2942726,4805632,4479064,4453862,4758598,4669240,4130777,2543230,4271798
2021-11-01T06:30,3280529,4060522,5021182,3759839,3467691,2941910,4021016,5127483,3300611,4289900,3650460,3529051,3678107,4130675,4378228,4883769,3338556,3378322,3396036,4366612,4067888,4072685,3975151,2794831,2710268,4713058,4001463,3310433,3033337,3283164,3262901,3245043,4128935,2283157,2488532
2021-11-01T06:35,2255226,3311464,4850808,3157281,3891588,4208103,4326748,3041254,3500678,2575067,3831505,3245947,3550955,3453635,3537061,2857024,4279762,3573285,3531176,3706066,4127868,3638734,3064305,3734340,3285649,3313412,4030821,4258963,4442160,4664963,3506379,3407414,5181569,3436069,3572531
2021-11-01T06:40,3008646,3794918,3403225,3171665,3393310,3361167,4204069,4560522,3403352,4881265,4645402,5419971,2413120,3668933,4222248,3407062,4389524,3679506,3105807,2997131,2723584,4303198,3624463,4242620,2724563,3631773,4312324,4500831,3995400,4858610,3808552,3450784,3474434,4397874,3634986
2021-11-01T06:45,2318889,3616254,3593258,3460194,4197720,2430252,2756113,4369574,3134804,4169828,4315402,3455371,3284936,3432484,3481443,4085518,4062221,3336010,4370511,3964642,3066013,3870996,3476080,3772950,5333736,5027644,2890826,3407296,5033734,4302978,5525984,3993056,5125238,2569626,3569822
2021-11-01T06:50,2671096,4695982,3840961,4037675,3730216,4108003,3228000,4287217,2597874,4753279,4554248,3062741,2868437,4777103,4361881,1911741,2766652,3261549,3489026,3892083,4301949,3098268,3808755,5372950,3927499,2702853,3700737,3829171,3057297,3738970,3777651,4765801,4801929,3273725,3332376
2021-11-01T06:55,2589508,3050752,4394733,3849942,2988763,3463583,2655431,3972247,2152392,4309185,3375078,5713960,2550638,2761997,3766559,4411257,3742485,3793561,1924791,4128952,4745504,2442728,4160999,4103343,3634328,4410174,4725346,4649262,3642895,4831636,5195898,5155596,3334303,2974358,4852557
2021-11-01T07:00,3090672,5115089,3388017,2594232,2855503,3316531,2981181,3514679,4232040,3839937,3754501,2484231,2366569,3099264,3800543,3319865,4524312,2427055,1652252,4627787,4596170,3187922,3530784,3394843,3955810,4717017,5193330,3473770,5038000,3237779,4736469,3379346,4546939,2712200,3212628
2021-11-01T07:05,3777965,4017227,3173206,4349144,3796466,3209116,2919562,4616406,2779408,3387837,3972881,3628373,3249466,3500396,4712553,2575867,3269314,3929303,3775062,3467083,4006682,2854736,4684747,3154125,3345108,4757189,3485921,4402337,4060230,4624288,2628690,3443002,4021400,4283114,3947896
2021-11-01T07:10,2616731,4795078,3878305,3373889,2293353,2753598,3782660,6776903,3365797,4071421,4871908,3548907,3203009,4452437,4738976,4053387,5257816,3121817,4203341,3917183,3630240,4322662,2878852,3206603,4246195,4685466,3271129,3175224,4150842,4874151,4426149,3554786,5041939,3216259,5097546
2021-11-01T07:15,3415097,2506315,3335711,4165467,2759290,3387522,4000000,3732162,4922726,5539412,3805407,3789519,2078902,2938795,3928914,2683755,5114690,5218212,3970288,4455316,5167462,3411419,2940776,4424017,2544698,4291141,4540043,5238817,4542777,4842949,4071535,3182206,4175749,2305314,2903917
2021-11-01T07:20,2753671,2948856,3930382,3342534,3939231,2859886,2522732,3797738,5029885,3589729,3782412,4095827,2868038,5133155,4790735,3977852,3584756,4240169,3118859,4331363,5115466,5315221,3486423,3267554,2708292,5074879,4438769,3849971,3835051,4787394,4281145,3057906,3828616,4001977,3723930
2021-11-01T07:25,2002480,3632544,4280140,5237236,3935012,3450380,5163544,4307775,2254023,4161607,3575952,3617000,2939899,3551720,3610714,4731292,3659067,2310503,2916652,4173665,4230242,3762779,3609266,3285195,5460804,4450701,3710072,3224903,4442175,4202918,3465176,4386063,4214872,4971510,2632399
2021-11-01T07:30,2298527,4346627,3549679,3909064,4793145,4700616,2725910,4008974,3428932,3189215,3308029,3499826,4756462,3602742,4865083,3065282,3625622,5501024,4211568,4500153,4798142,4287166,3133044,4597450,2959398,4668021,3663056,4434708,3570199,3553476,3619666,3935466,3417321,3677847,2809259
