mtime,AB,BF,BJ,BN,DG,DQ,EL,GN,GW,HP,HT,IJ,IQ,JZ,KN,KO,QR,S,UY,W
2021-11-01T05:30,1481850,1795561,2320034,1859278,3036784,3115041,3507304,3212961,2604319,2876831,2830556,2864580,2289780,3706815,3196225,2101459,3267762,2083792,2713191,4524305
2021-11-01T05:35,1808369,2142375,2842858,2843973,2909874,2326520,2190542,3644667,2742381,2279277,2453857,4320545,2214500,2671310,2521978,2150546,5256380,3079515,1901654,2361425
2021-11-01T05:40,3233352,2980869,2985473,2589440,3015976,2299905,3414836,1672898,2159787,3569201,2251751,2388110,1970303,3588172,1835716,3144539,2565133,2952640,2354358,2443312
2021-11-01T05:45,2121539,2574996,3313656,2744807,3964607,2050815,2794359,2662890,2201035,2269925,2424154,2307529,3833587,3105021,2354829,2396581,3264863,2399697,2033101,3173065
2021-11-01T05:50,1862126,1906394,2560662,2470952,2790741,1196650,3353129,3565982,2055442,4219296,2513560,2259613,3239597,2468393,2431418,3905017,3906753,1745516,2188776,2619765
2021-11-01T05:55,2151831,2402904,2576832,1287341,2713502,1724880,3105023,1726715,2900446,2001148,1802870,2381798,2638183,2508760,2793453,2793080,2934721,3006391,1753867,2558360
2021-11-01T06:00,2000202,2021001,2211032,3591384,2784279,1336459,1898270,2804204,3436937,3583217,2705944,3202337,2110770,3609132,2436220,1552303,2964371,3990498,2600381,2700882
2021-11-01T06:05,1873781,2136264,2547580,4013178,2927425,1543788,3609740,3491593,3586533,2918423,2326198,2278615,2979000,2468438,1932673,2503891,3925796,4283453,2530543,1838100
2021-11-01T06:10,2211382,1977697,3375184,2173435,2838243,2949476,2450276,2481183,2824912,2334664,3657094,2878146,2512105,2309976,1809818,3276736,2217452,2384181,2715136,3538689
2021-11-01T06:15,2598238,1600133,2847734,2475536,3358576,1665183,2706159,2769518,1985516,947900,2224559,3565076,1959495,2785555,1738823,2745106,3880451,1908510,2790004,2608811
2021-11-01T06:20,2286662,2126737,3993656,2591486,2582931,2560801,3466786,2360027,2830896,3014848,1308737,2387012,2305665,2483315,1914449,1969718,3501579,2352838,1054365,2440396
2021-11-01T06:25,2409913,2932764,4696942,1921078,3647291,2305323,4405369,3695845,3170220,3522911,3791176,2788213,2223687,2503082,2812490,4124361,3249764,3370685,2274609,2989427
2021-11-01T06:30,4127530,1847789,2689765,2716400,3818094,1314625,3270690,2274812,3155408,2969098,2350847,2945994,3529095,2544447,2955287,973781,3218799,1631573,1843913,2677058
2021-11-01T06:35,2476966,2303853,3520285,2252709,2016883,2133292,4288074,2490621,2104088,2802170,2865991,2808067,2520727,1864084,1728186,4073203,3690896,2254555,3666985,3027172
2021-11-01T06:40,2408305,2195561,5429935,2379458,2520380,2333409,2192730,2358768,1383831,3194472,3307875,2267367,2765087,2178991,2812987,4612499,3296542,3037142,2406523,2926377
2021-11-01T06:45,2376580,2534271,3017627,3752736,3736247,2384213,2884494,2022092,2109602,2820200,1986384,2558496,2570672,3556500,2283652,2399804,3659600,3445104,3216703,3139936
2021-11-01T06:50,3008905,2398108,3055503,3079072,2074233,2017021,2636348,3211514,2616351,3104281,2169199,3701664,3047705,1747612,2679384,2194168,2041626,2570131,2979748,2629125
2021-11-01T06:55,1948530,1504301,2109706,2788666,3504331,2228549,3453549,2241381,4025462,3641059,1797279,2324811,2078794,2912944,2858146,2809639,2963730,1477700,2775774,3416207
2021-11-01T07:00,1926257,2728197,2208554,4366300,3006118,1847484,3148993,2271508,1876578,2306526,2780860,1873223,1793693,3478509,2124901,3157855,3191433,2383384,1910408,2341408
2021-11-01T07:05,2766969,2591783,3438762,2074111,1885390,3137470,2446917,2472106,3716905,2523417,3481291,3510156,2298272,3232528,3362402,3707472,3240508,2614689,2098584,2610182
2021-11-01T07:10,2539257,2344598,3102827,2433504,3061898,2268574,3863905,2532787,3151646,2514017,2238663,2374431,2713294,4584205,3392479,2668371,4310292,2311595,2143299,2524669
2021-11-01T07:15,2459140,2611305,3414860,2756431,3364829,2062673,2462948,2962672,2857221,3550757,1904393,2470858,1552874,3868056,2949056,2462843,2583717,3509934,2276277,2075367
2021-11-01T07:20,2492721,3037785,2836709,2296745,2707919,1449244,2325933,1980731,2701415,3154923,2335333,2266782,3143632,1873516,3967604,2654921,4080756,2786059,2320735,2105454
2021-11-01T07:25,1062293,2350566,2543920,2885068,3468504,1320831,1924236,2140328,2767870,2825458,2076099,2156385,2424579,3067757,1632807,3125130,2761937,3426670,1873886,3589049
2021-11-01T07:30,2919378,1308732,2602776,2038810,4447987,1766160,3313111,2126863,2643146,2545654,1968080,2444959,2341580,2892817,2604885,3651841,2427878,2422789,2146310,3189902
2021-11-01T07:35,2934363,2404116,3008548,1976192,3535591,1931370,3302312,2070271,2821384,1540023,2273719,2547700,2103006,2432693,2744692,4001722,3560727,2270014,1643642,3129025
2021-11-01T07:40,3195432,3064084,3229811,2717779,2962849,2112794,3304045,1561987,1838410,2701236,2797571,3177930,1967412,2005732,2706287,3527790,3151026,2319893,2487462,2710931
2021-11-01T07:45,2411387,2384484,1947609,3324327,3329757,2662943,3639451,4024981,2752388,3499508,1839366,2107220,2655487,1794044,1128874,2267828,3511468,3798984,2175469,2471230
2021-11-01T07:50,2276708,1895693,2446222,2929525,4129272,2854985,3278890,1759610,3430458,3087045,1963430,2670934,2548239,2202676,2770335,2283555,3890794,3705687,2008075,3019123
2021-11-01T07:55,2758318,3209146,1591788,3309499,4041561,2094854,2906666,1782655,3108619,2525020,2583728,2793209,2323049,2113814,2081739,2328013,2787116,2998924,1743819,2485409
2021-11-01T08:00,3331405,2110262,3362079,2522999,3108766,1966928,1172503,3122538,2270076,1851119,2015199,3673005,2839688,3081614,2692478,3090170,2833661,2021123,1345478,3423633
2021-11-01T08:05,4572208,2698484,2779942,2364698,2489236,2712617,3307878,2258485,3006449,3326365,3281115,2015722,1731182,2716818,3043589,3671874,4363663,3629057,2270542,2902862
2021-11-01T08:10,2720132,2086878,2010976,2990712,3205421,2093770,2593684,1753197,2005883,2434229,2289007,2918353,3131220,4459744,2595302,3067220,3170420,3224731,3330571,2937973
2021-11-01T08:15,3212845,3357534,4835394,3901398,2558752,1281921,3041592,2577066,2861203,3001417,2502727,2656943,3003888,2936966,2337781,2325129,2688525,3454485,2460509,2090054
2021-11-01T08:20,4673817,2592142,4314729,2499439,2373879,1601784,3210144,2218085,2120883,2306225,1925567,2860823,2993649,2932438,1737533,2667108,3123969,3141551,1906381,2196841
2021-11-01T08:25,2670766,2004112,1666628,1850762,2124595,3367252,3205764,3241634,2449757,3426992,2072543,2588233,2309176,2919133,2930083,1955637,3021842,4066026,2329905,3064074
2021-11-01T08:30,1964612,2639951,2231013,3330129,3911052,2267978,2781625,2046262,2446516,3127418,2518710,2624209,2316500,3175336,2343329,4327832,2671154,1915789,3225940,3019209
2021-11-01T08:35,3173540,2543006,1475882,3603967,3206348,2040053,3152247,2247082,2846018,3167036,1402914,3200770,824470,3465998,3814688,2089815,2673768,3648161,1925814,1623901
2021-11-01T08:40,1963500,2465880,2096585,2767736,1875036,3154791,2909486,2300046,3746052,2926742,2271268,1736512,2688708,2781773,2160149,2955646,2723813,3108132,2075595,2303011
2021-11-01T08:45,1918314,2290920,1434459,2855558,3094098,2348998,4442024,2968684,2571719,2932391,3772626,2515328,1408120,2062329,2542759,2103378,3853145,3591693,2953785,2703902
2021-11-01T08:50,1721713,1848950,2642092,1941942,2368179,2889046,3077183,1616022,4233518,2259552,1804953,2684123,2116203,2922300,2418470,2880274,3255638,1759453,1119407,3431726
2021-11-01T08:55,3391439,2281248,2784770,2083377,3632287,838518,2318142,3882571,3563540,2724034,1661456,2806772,1693916,2280815,2347910,2414724,3157739,3219364,1364429,2650086
2021-11-01T09:00,2168828,2671860,3242986,1840193,2346814,1445452,1826889,2255229,2854146,3979587,2709425,2827666,1881625,1867533,3722037,2170733,4106196,3999950,2376659,2222520
2021-11-01T09:05,2779733,3634085,2762781,2591306,2930348,2066943,3114211,2245409,2416518,2740860,2030737,3161383,3490631,2154154,1665470,3167064,3703670,2434473,1284161,1813168
2021-11-01T09:10,3141908,2360285,3994047,1528493,3281848,1972731,4332353,2896472,2337802,1571562,2722696,2321487,3080250,3606816,2732302,2673529,1948668,3001174,2217902,3076360
2021-11-01T09:15,1744431,2205541,2365626,2443467,2832258,3321525,3292499,1935041,2462296,2804117,2895666,2731073,2637113,2997647,3572404,3439958,2641516,2679541,2116818,3862568
2021-11-01T09:20,2900780,1937877,2719385,2557473,3511394,1427276,3044402,1704831,1816263,3280239,3177986,2499773,1838940,2855094,2378545,2241208,3461088,3313347,2850802,2741069
2021-11-01T09:25,2045656,2211039,2006482,2286557,2891334,2366095,3277398,2312859,3337942,3083908,3198323,3139563,2747575,2835562,2077647,2964049,2222068,3050984,2207619,1984457
2021-11-01T09:30,2213538,3686816,2733214,2285283,3137402,2017121,3224471,2959729,2916004,3096287,1750240,3202960,2130234,3225557,2508681,3317166,3650662,2825178,1806153,3761135
2021-11-01T09:35,2338019,3086392,3133235,2731834,2370647,1801801,1982596,2345216,2737496,4080021,841108,2280825,2181141,2440624,2664830,3829693,4324233,3087829,2517214,2873430
2021-11-01T09:40,2636490,1856046,3245857,2550120,3304299,2502225,2704396,2177984,2651900,2631318,2043943,3117914,3657241,2749358,3103590,2463464,5417433,3124479,3031859,2557222
2021-11-01T09:45,3351579,2373016,4190150,2889994,2209832,1794661,3436235,2212366,4282476,2974152,1873644,3187865,2911362,2572051,2425992,3202771,2313294,2291671,2469521,2129970
2021-11-01T09:50,3203935,2372971,2434052,1965858,3735517,1669832,4096291,2793112,2274464,2869828,3014155,2602005,2476682,2250363,3232592,3018579,4926707,2004378,2089662,1917337
2021-11-01T09:55,2547891,2541696,2998290,2131485,3503053,1793953,2812437,3316976,3029266,3243133,3090851,3630480,2498349,2545468,2723677,2071192,2872154,3177124,1492599,3137705
2021-11-01T10:00,2295145,2208380,2789337,2685465,2756919,1447748,3121210,2313977,2256335,2529174,1563231,3412173,2321645,2165300,2898665,2862623,2838360,2487175,1162761,2967169
2021-11-01T10:05,2704910,1757534,2274454,2282650,3079165,1475535,4042153,1851033,2240846,2504283,1040776,3187699,2183577,1805537,2622744,2055428,2212852,3852055,1405020,1678422
2021-11-01T10:10,1236901,2274658,3079573,3359061,3235660,3377686,1601622,1935244,3323897,2731073,2748402,2459905,3112387,2947634,2402477,1578195,3876033,3907850,2932101,2756808
2021-11-01T10:15,1737350,1761207,3028921,2342757,2178391,2212531,2337726,3018441,2746145,3099147,3031073,3337733,2541095,1642592,2521074,2807327,3067659,2927522,1333083,3279702
2021-11-01T10:20,3589647,2626230,4245641,2274746,2920041,3277016,1772789,2450613,2831130,3497782,2376534,2962441,3430522,3268989,2365140,3722354,3715885,2396126,1516772,2809429
2021-11-01T10:25,2299045,2658852,3058893,2159883,3111911,2084457,2942021,2168870,2226941,3318695,2480834,3171198,2690321,2357019,1538856,2351273,2202535,2837512,2224236,1909769
2021-11-01T10:30,2934415,2941264,3942495,3505922,3692379,3056766,3217243,2254197,3460430,3161714,1765485,3348977,2610779,2593375,3131233,2649701,3556983,4172929,2282556,2662420
2021-11-01T10:35,1729119,1427651,2734416,2884639,4307002,1490135,2625758,2997483,2307022,2998429,3019243,3127507,1401011,3420176,2256792,4438720,2803652,2616329,2643238,2512686
2021-11-01T10:40,3585172,1874479,2046276,1367713,4116291,1979712,2977422,2337424,2658217,2797805,1746522,1831949,1741646,1811246,3792823,3611178,2480526,4058218,2273995,3249442
2021-11-01T10:45,3321189,2676051,2697366,3365411,2408917,2170043,3500833,2399034,984010,3236396,2847938,2720879,1880454,2034469,2315574,3883406,2784676,3867569,2569223,2176753
2021-11-01T10:50,1727574,1256854,2471080,1995289,4040380,1930532,4069360,2631113,2462070,2119093,2257209,2502766,2293036,2744773,3032978,2886289,2971507,3546503,2631839,1613990
2021-11-01T10:55,3166061,1269573,2024862,2676848,4515269,1475742,2466530,2542224,2605163,2930249,3355778,2411601,1628506,3209852,1520050,4094339,3897008,3991199,2216270,3386952
2021-11-01T11:00,2203734,2755543,2671137,2141576,2879299,3299213,2640568,2526086,2758844,1699156,1417336,2912327,3163389,1919696,3008751,4927694,2669790,3112680,2035607,2994802
2021-11-01T11:05,2009791,2377290,2574594,3382526,1888040,2685501,2817456,1811417,1848974,3573125,2889857,3741900,3349693,1581957,1962507,2981400,3068457,2852660,1953626,3165886
2021-11-01T11:10,1963374,3144397,2333201,2808258,3639251,2172955,3228999,2729528,4789520,3528047,2445041,2689310,2680877,3067054,2330704,3093682,4297469,3252443,3373024,3171926
2021-11-01T11:15,2370308,2949649,2795510,1583492,1857149,2486946,2165835,2359501,3383865,3549867,1855080,3262878,1881266,1696944,2541303,4355083,3310804,3025504,2986095,2694150
2021-11-01T11:20,2483155,2914208,4265179,3533040,2946040,2206082,3642232,2637474,2566045,1918512,2101567,3385438,3381938,3309575,3613301,2999962,2663045,2713213,2383042,2324363
2021-11-01T11:25,3209397,2343124,2480009,2768362,2940851,2337389,2974575,2205847,3260724,2783244,1953400,2994712,2863469,2210640,2664634,3397340,3645718,3061273,2940248,2278190
2021-11-01T11:30,1514953,3053468,2981284,4110355,3382751,1016223,2005800,2872226,1839741,2237868,3094842,2580198,3229720,2478395,2153422,3559099,2250194,3236145,2553504,2095721
2021-11-01T11:35,1819234,2972719,4214051,1984652,2468708,1270975,3048078,1723462,2500102,2037381,3098826,2027846,1477258,2328403,2284241,2537693,3070366,2128787,1433182,1793219
2021-11-01T11:40,2552837,3137212,3377207,2855120,3615537,2669322,3142921,2994147,2340155,2373571,2340066,2884501,2492189,2863211,2544823,2552828,3112162,2144506,2361772,2659621
2021-11-01T11:45,3231332,2910162,4054257,2250465,4017307,2960756,2467768,3217999,2511742,2488977,2185437,3459668,2219442,2730666,1688961,2530219,3154587,3113544,3574401,2387327
2021-11-01T11:50,2811596,2262165,3907120,2204147,3360112,2496362,3475855,2467342,2247200,2359805,3576808,3240865,2246501,2623080,1851664,5271968,4369243,2153810,1275034,3615235
2021-11-01T11:55,1481702,2266792,3305426,2476788,2957591,2267682,2741601,1958620,3185516,2097049,2325922,2496226,1817356,2145275,3352839,3587906,3052011,3381323,2635198,3120721
2021-11-01T12:00,2953736,2198527,2627060,3035681,2025144,2081611,3622537,2763710,2189280,1904172,2813639,2680761,1251723,2678498,3953717,3236341,3093960,2459980,2542134,2065097
2021-11-01T12:05,2462919,2012506,2888213,2468354,3059519,1659395,2824314,2243922,2474065,3324425,2572979,3273578,2523968,3034841,2778583,3544189,3068746,2867011,2126027,2089088
2021-11-01T12:10,1835716,2831394,1890158,2456786,2983058,1629003,3307635,2408932,3556564,3393028,2223380,1648175,2827187,2285640,2846280,3663487,2548498,2627020,3101291,3100712
2021-11-01T12:15,1846045,1445958,2804433,2262448,4253306,2380955,3595494,3425067,3298934,3232038,3053708,3060571,1699039,3006762,2009434,2780540,3294085,3504227,2663621,2740994
2021-11-01T12:20,3080186,1972447,3428567,2081798,3460425,2307217,2808490,2508220,3670619,3858270,1827660,2162838,2002625,2198954,3123582,1317090,4523437,4053411,3382953,3269033
2021-11-01T12:25,2397044,2111959,2807895,1953469,2634456,2288527,2901728,2492469,1944797,2613769,1498373,2426083,1827883,2687458,1945083,4563818,3228904,3698817,2072792,2890431
2021-11-01T12:30,2577448,1875024,4077394,4452428,3413846,2455008,2353156,3518867,2374880,2590857,3138260,2642058,3297988,2743964,3183104,3373112,3775252,2784245,2864422,2751139
2021-11-01T12:35,1768477,1713250,2650821,2326462,2934157,1474602,2166386,2035814,1505216,2497430,2422126,1891590,1588457,1659011,3700429,3030410,3303104,2784814,1552169,1314010
